"date","close","volume","open","high","low"
"16:00","151.72","692,002","152.08","152.26","150.81"
"2017/10/19","151.3200","1178958.0000","148.2900","152.0450","147.2750"
"2017/10/18","147.9900","697414.0000","149.9500","150.2400","147.5300"
"2017/10/17","149.7300","527769.0000","149.4600","150.4700","148.6000"
"2017/10/16","149.6700","352537.0000","149.5800","150.3500","149.0200"
"2017/10/13","149.6000","235835.0000","150.1600","150.3600","148.8500"
"2017/10/12","150.2600","637877.0000","149.5600","150.6300","148.9000"
"2017/10/11","149.2800","709032.0000","149.3100","150.0700","148.7701"
"2017/10/10","149.4800","385737.0000","149.6300","150.4300","148.8500"
"2017/10/09","149.2700","372195.0000","151.4600","151.8000","148.9710"
"2017/10/06","151.6500","420825.0000","151.7400","153.5000","151.4800"
"2017/10/05","151.6800","457519.0000","152.3700","152.8900","150.8000"
"2017/10/04","152.1800","515837.0000","150.9000","152.4800","150.6900"
"2017/10/03","150.9200","423254.0000","151.4800","151.9500","150.0000"
"2017/10/02","151.3800","592123.0000","151.1100","152.0300","150.4300"
"2017/09/29","150.9700","476457.0000","149.3900","151.6600","148.9500"
"2017/09/28","149.7500","743983.0000","149.2600","149.7800","148.0450"
"2017/09/27","149.4700","901496.0000","150.8200","151.6600","148.8800"
"2017/09/26","150.8200","919848.0000","150.2400","152.6900","149.9400"
"2017/09/25","150.3200","2110179.0000","149.6300","150.5800","146.6800"
"2017/09/22","155.0700","510718.0000","154.3400","155.4699","153.9800"
"2017/09/21","153.8900","561452.0000","154.4500","154.6300","152.6600"
"2017/09/20","154.1500","969274.0000","152.9400","154.9700","152.2800"
"2017/09/19","152.8500","607734.0000","153.7700","154.3100","152.4300"
"2017/09/18","153.7500","497791.0000","153.9200","154.4400","153.0000"
"2017/09/15","153.6000","787179.0000","154.0800","154.4800","152.8900"
"2017/09/14","154.0900","756368.0000","155.0300","155.0700","153.1100"
"2017/09/13","155.2100","849571.0000","159.1800","159.1800","154.9500"
"2017/09/12","158.6700","552781.0000","159.1600","159.1600","157.7800"
"2017/09/11","159.2100","768987.0000","158.8800","159.5670","157.8300"
"2017/09/08","157.5500","398530.0000","157.7700","158.3600","156.9000"
"2017/09/07","158.0400","557904.0000","158.8900","159.2800","157.4500"
"2017/09/06","158.4800","597844.0000","157.8600","158.6200","156.1800"
"2017/09/05","157.0000","546588.0000","157.3200","157.5000","156.2600"
"2017/09/01","157.6100","553480.0000","157.1200","158.4133","156.4800"
"2017/08/31","156.8700","656504.0000","154.5200","157.0500","154.2800"
"2017/08/30","153.8400","598109.0000","152.6700","154.5200","152.2800"
"2017/08/29","152.8800","610305.0000","152.5700","153.2400","150.7100"
"2017/08/28","153.2200","654561.0000","155.4100","155.9400","153.1500"
"2017/08/25","154.7700","729120.0000","154.9200","156.4490","154.4400"
"2017/08/24","154.4200","892822.0000","153.9300","154.8900","153.3300"
"2017/08/23","153.6600","783955.0000","154.8400","155.5631","152.8301"
"2017/08/22","155.4000","447974.0000","153.7400","155.6000","153.2200"
"2017/08/21","153.7400","371252.0000","154.0200","154.5100","153.3000"
"2017/08/18","153.9100","460530.0000","154.2200","154.6200","153.5000"
"2017/08/17","154.5600","434649.0000","156.1600","157.0700","154.4250"
"2017/08/16","156.4400","524216.0000","157.0200","157.9900","155.9700"
"2017/08/15","156.7600","379744.0000","156.6900","157.4600","156.3300"
"2017/08/14","156.5000","398607.0000","157.4300","157.4300","156.2300"
"2017/08/11","156.2100","441945.0000","156.5200","157.2300","155.7500"
