"date","close","volume","open","high","low"
"15:58","68.12","915,715","68.21","68.21","67.75"
"2017/10/19","68.1800","1221083.0000","68.3200","68.6500","67.9800"
"2017/10/18","68.3100","1269118.0000","68.1900","68.5100","67.8300"
"2017/10/17","68.1900","1273403.0000","67.7500","68.2900","67.6300"
"2017/10/16","68.0700","1274921.0000","68.2500","68.4300","67.7600"
"2017/10/13","68.2000","1923865.0000","68.3500","68.5600","67.8400"
"2017/10/12","68.0100","1401500.0000","67.8400","68.0100","67.0900"
"2017/10/11","67.9400","1988386.0000","67.9700","68.3000","67.7358"
"2017/10/10","68.0100","2688915.0000","68.4300","68.7200","67.6100"
"2017/10/09","68.2500","1268452.0000","68.4000","68.8200","68.1800"
"2017/10/06","68.3500","2905085.0000","68.3000","68.3900","67.4600"
"2017/10/05","68.5200","2052764.0000","68.8900","69.1800","68.4100"
"2017/10/04","68.6300","3287056.0000","68.9800","68.9800","68.0000"
"2017/10/03","69.4400","1546643.0000","69.6000","70.2000","69.2100"
"2017/10/02","69.5500","1777730.0000","70.8700","70.8700","69.4900"
"2017/09/29","70.2800","2057905.0000","70.3600","70.9600","69.9600"
"2017/09/28","70.5800","1152319.0000","69.8100","70.6000","69.7700"
"2017/09/27","69.9100","2379656.0000","71.2500","71.6600","69.7700"
"2017/09/26","71.8100","2810201.0000","71.2400","71.9000","70.6800"
"2017/09/25","71.3100","1513053.0000","71.0900","71.5100","70.9300"
"2017/09/22","70.9600","1853118.0000","72.3300","72.3900","70.8000"
"2017/09/21","72.2000","1566082.0000","73.1900","73.4000","72.1700"
"2017/09/20","73.2000","2130237.0000","73.7100","73.8700","72.9000"
"2017/09/19","73.4300","1681232.0000","74.4000","74.6300","73.2700"
"2017/09/18","74.3100","1430737.0000","74.5200","74.7100","73.9500"
"2017/09/15","74.5700","2809531.0000","74.2600","74.6200","73.6100"
"2017/09/14","74.4500","1651481.0000","74.0100","74.4500","73.5000"
"2017/09/13","74.1000","1490067.0000","74.2600","74.4800","73.8200"
"2017/09/12","74.3400","1424704.0000","75.2500","75.5800","74.0300"
"2017/09/11","75.3600","1722360.0000","74.5700","75.4300","74.3500"
"2017/09/08","74.6700","1451063.0000","73.9100","74.8100","73.7600"
"2017/09/07","73.9900","1085289.0000","73.8200","74.2200","73.4850"
"2017/09/06","73.6700","2253689.0000","74.2300","74.6300","73.4600"
"2017/09/05","74.0600","2400387.0000","73.8600","74.4000","73.6400"
"2017/09/01","73.6700","1731227.0000","73.2300","73.7800","73.1900"
"2017/08/31","73.2200","2598013.0000","72.8100","73.4100","72.6200"
"2017/08/30","72.5100","2275064.0000","71.8100","72.7100","71.8000"
"2017/08/29","71.9300","1509339.0000","71.4900","72.2300","71.3800"
"2017/08/28","71.2400","931688.0000","72.0100","72.1000","71.1000"
"2017/08/25","71.9200","1300762.0000","71.7900","72.3500","71.6500"
"2017/08/24","71.4100","1510262.0000","71.5100","71.9800","71.3100"
"2017/08/23","71.5800","929281.0000","70.9000","71.8000","70.7568"
"2017/08/22","70.9300","1176650.0000","71.9800","72.0800","70.7550"
"2017/08/21","71.9800","1378290.0000","70.7700","72.1500","70.5700"
"2017/08/18","70.6500","1374690.0000","71.2100","71.2800","70.5600"
"2017/08/17","71.1000","1342679.0000","71.7300","72.2500","71.1000"
"2017/08/16","72.0000","1661414.0000","71.4500","72.3800","71.2900"
"2017/08/15","71.2400","1590694.0000","71.5600","71.5600","70.8200"
"2017/08/14","71.7500","1605665.0000","70.6300","71.9800","70.5000"
"2017/08/11","70.4000","1346528.0000","70.8900","70.8900","69.8500"
"2017/08/10","70.6000","1486133.0000","71.2100","71.5300","70.5200"
"2017/08/09","71.2400","1222351.0000","72.0000","72.2000","71.1735"
"2017/08/08","71.9400","1535993.0000","71.7400","72.1800","71.4800"
"2017/08/07","71.9200","1253081.0000","71.8300","72.3300","71.3800"
"2017/08/04","71.8300","1361389.0000","72.2000","72.3300","71.6800"
"2017/08/03","73.0600","1632550.0000","72.4300","73.1800","71.8900"
"2017/08/02","72.4300","1455892.0000","72.1200","72.4490","71.8301"
"2017/08/01","72.3200","2091627.0000","73.6000","73.6800","71.6700"
"2017/07/31","73.3900","2128557.0000","73.2100","73.6100","72.4000"
"2017/07/28","73.0700","1365187.0000","74.4000","74.4000","72.4700"
"2017/07/27","72.7900","1396760.0000","73.0000","73.4500","72.2000"
"2017/07/26","73.2900","1007731.0000","73.0400","73.5800","72.6600"
"2017/07/25","73.0100","1622491.0000","73.3100","73.3500","72.2900"
"2017/07/24","73.1500","1855047.0000","73.9600","74.0790","72.8000"
"2017/07/21","73.9300","1227350.0000","73.6700","74.1900","73.3000"
"2017/07/20","73.7000","1295166.0000","74.3200","74.4900","73.6800"
"2017/07/19","74.1300","1190693.0000","74.0100","74.2700","73.5700"
"2017/07/18","74.0500","1255728.0000","73.9200","74.3200","73.6400"
"2017/07/17","73.8500","1286279.0000","73.7200","74.1900","73.5100"
"2017/07/14","73.7500","1087680.0000","73.8900","74.1000","73.5350"
"2017/07/13","73.3000","956381.0000","73.5400","73.6600","73.1100"
"2017/07/12","73.7100","1020788.0000","73.1300","73.9300","73.1300"
"2017/07/11","72.6100","984365.0000","72.5800","72.9000","72.0800"
