"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","","","",""
"Book Value per Share","40.418","38.676","38.038","38.684","39.243","43.078","42.688","44.498","17.4","","","",""
"Tangible Book Value per Share","64.033","64.734","62.082","62.271","63.367","65.428","62.649","68.476","31.676","","","",""
"FCF per Share","1.708","0.541","1.378","0.874","1.333","0.152","1.274","0.635","0.598","","","",""
"Interest Debt per Share","25.977","22.6582","22.9676","23.0192","23.1943","25.122","22.6223","21.4701","10.0955","","","",""
"Cash per Share","0.9204","1.5623","1.9936","1.4569","1.053","1.4769","0.9498","0.8215","0.1929","","","",""
"Debt to Equity Ratio","0.6427","0.5858","0.6038","0.5951","0.591","0.5832","0.5299","0.4825","0.5802","0.693","","",""
"Total Debt To Total Assets","0.2623","0.2472","0.2522","0.2513","0.2499","0.2524","0.2342","0.2216","0.244","0.2704","","",""
"Interest Coverage","6.5227","3.2295","2.298","-1.5402","4.0","2.4281","-5.5736","3.2437","11.8274","8.2","9.03","10.905","9.795"
"Current Ratio","1.425","2.151","1.807","1.792","1.684","1.74","1.782","1.917","1.751","1.788","","",""
"Income Quality","1.7955","2.9069","6.3956","-4.1478","5.7595","4.4323","-1.1533","3.342","1.6995","1.9891","2.6571","2.6166",""
"Payout Ratio","0.308","0.976","1.25","-1.027","1.027","1.727","-0.216","2.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.3535","0.2937","0.3184","0.3202","0.3173","0.3427","0.3513","0.2933","0.2345","0.2371","","",""
"Selling, General and Administrative Expense of Revenue","0.109","0.109","0.1128","0.1142","0.1098","0.1132","0.1119","0.108","0.0972","0.1029","0.0969","0.0959","0.0969"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","1299400000.0","2671400000.0","1802700000.0","1729600000.0","1578100000.0","1892100000.0","1759200000.0","1997200000.0","988500000.0","1072000000.0","","",""
"Tangible Asset Value","16078500000.0","16209500000.0","15588900000.0","15660800000.0","16007100000.0","16608800000.0","16107900000.0","17930400000.0","8294300000.0","8422200000.0","","",""
"Net Current Asset Value","-10315100000.0","-8201000000.0","-9205900000.0","-9295600000.0","-9538400000.0","-9744400000.0","-9700500000.0","-9412500000.0","-3974200000.0","-4299800000.0","","",""
"Invested Capital","19311300000.0","19170900000.0","18623000000.0","18900600000.0","19293100000.0","20054000000.0","19431100000.0","21158400000.0","9571000000.0","10005000000.0","","",""
"Average Receivables","1749500000.0","1613150000.0","1504250000.0","1583800000.0","1311250000.0","1390750000.0","","","","","","",""
"Average Payables","1281100000.0","1234350000.0","1263500000.0","1142900000.0","931000000.0","1028100000.0","","","","","","",""
"Average Inventory","1729100000.0","1823400000.0","1841850000.0","1699600000.0","1343650000.0","1544050000.0","","","","","","",""
