"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40816.0","40543.0","","",""
"Book Value per Share","16.687","15.869","15.305","15.327","14.872","13.758","15.366","15.016","14.85","14.462","13.965","14.748","15.228","15.919","16.008","15.364","15.305","14.971","14.826","14.505","14.076","13.812","13.639","13.7","-0.388","","",""
"Tangible Book Value per Share","15.133","14.398","14.178","14.709","14.766","13.907","13.315","14.376","13.819","12.412","11.92","12.366","11.595","11.13","12.782","11.069","10.781","10.754","11.263","10.691","10.421","10.0","10.086","10.846","13.5","","",""
"FCF per Share","1.034","-0.31","1.469","1.197","0.914","-0.317","0.688","1.189","0.578","-0.575","0.685","0.67","0.598","-1.072","0.544","0.58","0.616","-0.529","0.837","0.306","0.497","-0.349","0.806","0.122","0.34","","",""
"Interest Debt per Share","9.0474","9.7434","9.2748","10.304","10.4554","10.2923","7.3323","8.387","8.7178","4.7899","4.1409","4.3131","3.644","2.9258","2.1511","2.1421","2.3398","1.9876","2.0268","2.1444","2.264","2.7308","2.6405","0.4932","20.8498","","",""
"Cash per Share","1.6426","1.3771","1.6299","1.8102","1.8171","1.6092","1.4953","2.1921","1.4019","1.1307","1.186","1.1049","0.8732","0.7497","1.4586","0.9457","0.749","1.5765","2.0922","1.3447","0.9221","0.7639","0.7768","0.8227","0.3914","","",""
"Debt to Equity Ratio","0.5422","0.614","0.606","0.6723","0.703","0.7481","0.4772","0.5585","0.5871","0.3312","0.2965","0.2924","0.2393","0.1838","0.1344","0.1394","0.1529","0.1328","0.1367","0.1478","0.1608","0.1977","0.1936","0.036","-53.7176","","",""
"Total Debt To Total Assets","0.265","0.2905","0.279","0.3042","0.3146","0.3282","0.2399","0.2639","0.2798","0.186","0.1653","0.1675","0.1444","0.118","0.0852","0.0863","0.095","0.0854","0.084","0.0911","0.097","0.1182","0.1129","0.0199","0.7595","","",""
"Interest Coverage","16.9837","9.7227","14.1379","15.5932","13.5396","8.1186","12.2719","15.0721","21.4","19.0294","20.8125","7.625","62.619","33.8421","48.6471","46.7619","58.9412","33.2941","0.0526","30.6","34.0476","8.52","-36.4","187.0","129.4","0.3333","1.5923","2.2457"
"Current Ratio","1.963","2.057","1.715","1.982","2.149","2.163","1.871","2.087","2.242","2.194","1.857","1.919","2.073","2.231","1.797","1.799","1.792","2.143","1.942","1.904","1.791","1.884","1.595","0.886","2.543","","",""
"Income Quality","1.3733","-0.2313","2.6052","1.7472","1.3666","-0.1","1.7244","2.0688","1.532","-1.6675","3.459","-6.6777","1.3494","-3.8382","2.0498","1.8738","1.85","-1.9437","8.8804","1.6725","2.0167","-3.512","-2.1465","14.8636","1.3318","6.4667","4.8994",""
"Payout Ratio","0.202","0.36","0.239","0.2","0.195","0.41","0.259","0.209","0.28","0.56","0.414","-0.923","0.211","0.48","0.256","0.256","0.256","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.5568","0.5707","0.5734","0.5657","0.5557","0.5566","0.5644","0.5476","0.5564","0.5179","0.5241","0.5198","0.5405","0.551","0.4937","0.5539","0.5624","0.5382","0.5331","0.546","0.5535","0.5672","0.5689","0.562","0.5082","","",""
"Selling, General and Administrative Expense of Revenue","0.2137","0.2432","0.2293","0.2224","0.2132","0.2442","0.2201","0.2145","0.2326","0.2539","0.2435","0.2221","0.2264","0.2505","0.2778","0.2256","0.2573","0.2698","0.3529","0.2598","0.2591","0.2768","0.2879","0.2689","0.2494","0.2777","0.2544","0.2494"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","762000000.0","748300000.0","602400000.0","763000000.0","824700000.0","796400000.0","660100000.0","845700000.0","847600000.0","727400000.0","599500000.0","652700000.0","692200000.0","697800000.0","588700000.0","565700000.0","531900000.0","639500000.0","595500000.0","540600000.0","471700000.0","457000000.0","355700000.0","-131100000.0","889500000.0","","",""
"Tangible Asset Value","2328100000.0","2204000000.0","2187700000.0","2263700000.0","2264800000.0","2191700000.0","2123700000.0","2299200000.0","2203000000.0","1969400000.0","1928600000.0","1959700000.0","1925300000.0","1843900000.0","2115400000.0","1837500000.0","1779000000.0","1766000000.0","1808900000.0","1718000000.0","1663500000.0","1578700000.0","1568400000.0","1682200000.0","2093900000.0","","",""
"Net Current Asset Value","-1131600000.0","-1247300000.0","-1320300000.0","-1312700000.0","-1272700000.0","-1291700000.0","-1003900000.0","-1054500000.0","-1066800000.0","-450200000.0","-490700000.0","-377700000.0","-321400000.0","-202100000.0","-197600000.0","-291700000.0","-333400000.0","-163400000.0","-261300000.0","-311800000.0","-407700000.0","-490100000.0","-559900000.0","-697400000.0","-2848300000.0","","",""
"Invested Capital","2676200000.0","2776900000.0","2524500000.0","2794200000.0","2871800000.0","2875200000.0","2296800000.0","2512300000.0","2687000000.0","1940900000.0","1707100000.0","1757900000.0","1740500000.0","1637500000.0","1491300000.0","1328200000.0","1369800000.0","1273800000.0","1166000000.0","1248700000.0","1281300000.0","1372300000.0","1260400000.0","484900000.0","4690500000.0","","",""
"Average Receivables","582500000.0","545200000.0","526650000.0","562900000.0","571400000.0","501350000.0","480750000.0","545750000.0","554400000.0","480050000.0","430850000.0","526100000.0","517550000.0","456000000.0","392250000.0","462400000.0","452500000.0","404200000.0","363900000.0","399450000.0","389700000.0","","","","","","",""
"Average Payables","381550000.0","371500000.0","369000000.0","357750000.0","359350000.0","345750000.0","339000000.0","347500000.0","345150000.0","323600000.0","324300000.0","342900000.0","343900000.0","310350000.0","300900000.0","298950000.0","318950000.0","277800000.0","273850000.0","530400000.0","270300000.0","","","","","","",""
"Average Inventory","580950000.0","578350000.0","543350000.0","551450000.0","563450000.0","549850000.0","508900000.0","530650000.0","533800000.0","505650000.0","445550000.0","492000000.0","480000000.0","444750000.0","393050000.0","427700000.0","412150000.0","365350000.0","346750000.0","380550000.0","358800000.0","","","","","","",""
