"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40543.0","",""
"Book Value per Share","9.671","9.611","10.577","10.822","10.308","10.097","9.806","9.208","8.618","8.245","7.867","7.594","7.175","6.648","6.049","5.796","5.916","5.596","5.17","4.838","4.502","2.652","2.199","4.043","",""
"Tangible Book Value per Share","11.186","9.528","9.401","9.281","10.158","9.0","8.472","8.868","9.271","8.238","6.993","7.189","7.769","7.486","6.427","6.269","6.26","5.843","5.613","5.277","4.88","3.019","2.435","1.59","",""
"FCF per Share","1.457","0.806","0.204","-0.692","1.507","0.738","0.438","0.007","1.229","0.476","0.385","0.322","0.951","0.627","0.385","0.909","0.514","0.245","0.446","0.486","0.401","0.167","0.156","0.541","0.413","0.362"
"Interest Debt per Share","1.9071","1.5069","1.2042","0.6575","0.6301","0.7655","1.3958","2.0","2.0","2.3077","2.3566","2.4196","2.4685","2.5423","2.5734","2.6306","2.6711","2.7364","2.9308","2.9119","2.9751","3.0999","3.1974","0.0133","",""
"Cash per Share","6.3357","5.0764","4.3099","4.1849","5.2466","4.5034","4.2639","3.9375","4.0486","3.5315","3.1818","3.4336","4.1049","2.2465","2.4545","1.9326","1.3893","1.4816","2.6134","3.8525","3.4337","1.5598","1.3752","0.6978","",""
"Debt to Equity Ratio","0.1972","0.1568","0.1138","0.0608","0.0611","0.0758","0.1424","0.2172","0.2321","0.2799","0.2996","0.3186","0.3441","0.3824","0.4254","0.4539","0.4515","0.489","0.5669","0.6019","0.6609","1.1689","1.4538","0.0033","",""
"Total Debt To Total Assets","0.108","0.0954","0.0764","0.0422","0.0386","0.0501","0.0945","0.131","0.1265","0.1576","0.173","0.1769","0.1928","0.2235","0.2498","0.2598","0.2642","0.2917","0.3172","0.3291","0.349","0.4534","0.5105","0.0025","",""
"Interest Coverage","12.0","9.3333","3.5","22.0","15.6667","10.5","-7.6667","33.6667","42.0","44.0","19.3333","38.5","50.0","48.0","14.0","29.0","46.0","29.0","17.4405","32.4486","32.8453","25.2432","36.5403","-373.9953","0.0","0.0"
"Current Ratio","1.9","2.219","2.246","2.147","1.925","2.231","2.772","2.649","1.939","1.978","1.934","1.899","2.215","2.201","2.593","2.522","2.534","3.347","3.233","3.941","3.712","2.257","2.2","1.239","",""
"Income Quality","8.1852","10.3077","44.0","-1.4545","7.0294","4.2759","26.3333","0.5405","3.4483","1.5714","2.25","1.0926","2.3235","1.6029","3.55","2.5893","1.3284","0.7097","2.1209","1.2879","1.1648","0.6177","1.188","1.4333","1.1201","1.1277"
