"date","close","volume","open","high","low"
"14:41","78.30","2,010,516","78.80","78.88","78.165"
"2017/10/19","78.4800","2765286.0000","78.5700","78.9900","78.4400"
"2017/10/18","78.5900","4613277.0000","78.0000","78.8900","77.9100"
"2017/10/17","78.0000","3809570.0000","77.7600","78.2400","77.3900"
"2017/10/16","77.7300","5392190.0000","78.0300","78.4400","77.7100"
"2017/10/13","78.0700","5442264.0000","77.8900","78.2266","77.4600"
"2017/10/12","77.9200","8498205.0000","77.7200","77.9600","77.1000"
"2017/10/11","78.2400","6442301.0000","77.0800","78.4800","77.0800"
"2017/10/10","77.2900","7244828.0000","76.9500","77.3800","76.9100"
"2017/10/09","76.9300","12760120.0000","77.8000","78.2600","76.5150"
"2017/10/06","79.8100","3223222.0000","79.5700","79.8100","79.2600"
"2017/10/05","79.5100","6322885.0000","79.3700","79.8600","79.0000"
"2017/10/04","78.6300","5735223.0000","78.2500","78.9000","78.2000"
"2017/10/03","78.1100","5866570.0000","78.1800","78.2000","77.5750"
"2017/10/02","78.0500","4312895.0000","78.0600","78.2300","77.5000"
"2017/09/29","77.7700","6171012.0000","77.6600","78.0100","77.5500"
"2017/09/28","77.7100","5536651.0000","77.7000","77.9100","77.1650"
"2017/09/27","77.8400","4756514.0000","78.6700","78.8700","77.4500"
"2017/09/26","78.3700","4791028.0000","78.2500","78.8800","78.0700"
"2017/09/25","78.2700","7151269.0000","79.4900","79.5900","77.9000"
"2017/09/22","79.7000","4556538.0000","79.4800","79.8900","79.1050"
"2017/09/21","79.5300","4785344.0000","80.1400","80.5488","79.5000"
"2017/09/20","80.1600","6384361.0000","81.1900","81.5100","79.3400"
"2017/09/19","81.1900","5584776.0000","82.6500","82.7400","81.1300"
"2017/09/18","82.4000","4162647.0000","82.3700","82.5350","81.7500"
"2017/09/15","82.1200","9541895.0000","81.6300","82.1400","81.3800"
"2017/09/14","81.8000","4461655.0000","81.8800","81.9300","81.0700"
"2017/09/13","81.9300","4795089.0000","82.1300","82.4500","81.7000"
"2017/09/12","82.3000","4075362.0000","81.5000","82.3600","81.0900"
"2017/09/11","81.5600","5853634.0000","82.2500","82.5000","81.1900"
"2017/09/08","82.0300","7881013.0000","79.9000","82.4800","79.9000"
"2017/09/07","79.9500","3386960.0000","79.9200","80.2800","79.7100"
"2017/09/06","79.8700","3784045.0000","79.9200","80.0755","79.3600"
"2017/09/05","79.8200","3258813.0000","79.8800","80.4000","79.5700"
"2017/09/01","80.0500","3133488.0000","80.7000","80.7500","79.8750"
"2017/08/31","80.6200","5661927.0000","80.0000","80.7200","79.7950"
"2017/08/30","79.8600","3725782.0000","79.7000","79.9167","79.3400"
"2017/08/29","79.7200","4130854.0000","79.3600","79.8950","79.0200"
"2017/08/28","79.5900","4900577.0000","79.5700","79.8700","79.4000"
"2017/08/25","79.0600","4231072.0000","79.4200","79.8500","79.0300"
"2017/08/24","79.2400","7364983.0000","79.6900","80.1000","79.1110"
"2017/08/23","79.7500","8667498.0000","81.3200","81.5700","79.4499"
"2017/08/22","81.7600","9381995.0000","81.4600","82.1500","81.0000"
"2017/08/21","83.5200","4626476.0000","83.3300","84.0150","82.9400"
"2017/08/18","83.4100","4294555.0000","83.3200","83.8100","83.1200"
"2017/08/17","83.6700","3699794.0000","84.4800","84.8500","83.6350"
"2017/08/16","84.6000","4376105.0000","84.8300","84.9200","84.5400"
"2017/08/15","84.5900","2760589.0000","84.5800","85.0100","84.4200"
"2017/08/14","84.4700","3357610.0000","84.0500","85.0700","84.0500"
"2017/08/11","83.7100","4301967.0000","83.3200","84.2350","83.0900"
"2017/08/10","83.0400","3495747.0000","83.5800","83.8600","83.0200"
"2017/08/09","83.9500","3519268.0000","83.7500","84.0200","83.5100"
"2017/08/08","83.8300","3816734.0000","84.2900","84.5300","83.6700"
"2017/08/07","84.3700","3647613.0000","83.7700","84.5500","83.7000"
"2017/08/04","83.6800","3414725.0000","83.5400","83.9600","83.2300"
"2017/08/03","83.2900","5944272.0000","82.9600","83.4900","82.8293"
"2017/08/02","83.2000","4909187.0000","83.5200","83.6100","82.9800"
"2017/08/01","83.5200","5356055.0000","84.1100","84.3800","83.4900"
"2017/07/31","83.9700","5452060.0000","84.5000","84.6800","83.9200"
"2017/07/28","84.2900","4550821.0000","84.5700","84.8086","84.1700"
"2017/07/27","84.6800","5244667.0000","85.8600","85.8600","84.3300"
"2017/07/26","85.7400","3331550.0000","85.8200","86.2800","85.3900"
"2017/07/25","85.9300","5255975.0000","85.4000","86.0100","85.0300"
"2017/07/24","85.0900","4095993.0000","85.2100","85.3100","84.7100"
"2017/07/21","85.1700","3523156.0000","85.6700","85.9500","84.9400"
"2017/07/20","85.6700","4286509.0000","85.9100","86.0900","85.5050"
"2017/07/19","85.6500","4596998.0000","85.9800","86.1400","85.4600"
"2017/07/18","85.8500","5505674.0000","86.0000","86.4300","85.7800"
"2017/07/17","86.0600","9485374.0000","88.5700","88.7900","85.8400"
"2017/07/14","88.5700","2257794.0000","87.8100","88.8200","87.6600"
"2017/07/13","87.8100","2306315.0000","87.9300","88.0000","87.3000"
"2017/07/12","87.8100","2128409.0000","87.7500","88.2500","87.4000"
"2017/07/11","87.2600","2792873.0000","87.0500","87.4100","86.6800"
"2017/07/10","87.2000","3062125.0000","87.8600","88.0000","87.0500"
"2017/07/07","87.9600","2796311.0000","87.6500","88.1000","87.4000"
"2017/07/06","87.2600","3884944.0000","88.7000","88.9800","87.2600"
"2017/07/05","88.9000","2892122.0000","88.5200","89.0999","88.2800"
"2017/07/03","88.8100","2006736.0000","88.8000","89.2000","88.7500"
"2017/06/30","88.7500","3827936.0000","88.7500","89.1700","88.5700"
"2017/06/29","88.7100","2887356.0000","89.3800","89.3900","88.1200"
"2017/06/28","89.3000","3339370.0000","89.1300","89.6100","88.9400"
"2017/06/27","88.7900","3149612.0000","89.1500","89.4300","88.7900"
"2017/06/26","89.1500","3491550.0000","89.2200","89.7200","88.9800"
"2017/06/23","89.2000","6707093.0000","89.4400","89.5000","88.8900"
"2017/06/22","89.0900","3549352.0000","88.9700","89.5900","88.7100"
"2017/06/21","88.7900","3549356.0000","88.9700","89.1400","88.5700"
"2017/06/20","88.8200","3535017.0000","88.7300","89.5200","88.5600"
"2017/06/19","88.9900","3806484.0000","88.0800","89.0700","88.0400"
"2017/06/16","88.0800","5429141.0000","88.0000","88.3500","87.5300"
"2017/06/15","87.6600","2967516.0000","87.3300","87.9800","87.1400"
"2017/06/14","87.6500","3509774.0000","87.5600","88.0000","87.3500"
"2017/06/13","87.2000","4459803.0000","87.5800","88.2000","87.1200"
"2017/06/12","87.6300","8823632.0000","86.6100","88.1600","86.5300"
"2017/06/09","86.5100","4715135.0000","85.8500","86.6400","85.7500"
"2017/06/08","85.9400","4138461.0000","85.9000","86.3400","85.6350"
"2017/06/07","85.9800","3291780.0000","86.3700","86.4600","85.8400"
"2017/06/06","86.0000","3627102.0000","85.8800","86.5500","85.6800"
"2017/06/05","85.9500","3243898.0000","85.5900","86.0200","85.4100"
"2017/06/02","85.8200","6162465.0000","86.1200","86.7200","85.5400"
"2017/06/01","86.0800","7535114.0000","84.6100","86.0800","84.3700"
"2017/05/31","84.2800","7442941.0000","84.9900","85.4000","83.7800"
"2017/05/30","84.8600","4131612.0000","85.1100","85.3300","84.5000"
"2017/05/26","85.0900","4796850.0000","85.5800","85.8200","84.5950"
"2017/05/25","85.5800","7210611.0000","85.2100","86.0000","83.8600"
"2017/05/24","84.7000","6666663.0000","84.8000","85.2000","84.0850"
"2017/05/23","84.6100","4385962.0000","84.1000","84.9200","83.9400"
"2017/05/22","83.9900","3912487.0000","83.2600","84.3500","83.2600"
"2017/05/19","83.2300","4780348.0000","82.4500","83.5100","82.2300"
"2017/05/18","82.4000","5225543.0000","81.5900","82.9000","81.5000"
"2017/05/17","82.6600","5861612.0000","82.8900","83.5100","82.5900"
"2017/05/16","83.9400","4635296.0000","84.0900","84.3300","83.4600"
"2017/05/15","84.1400","3301994.0000","83.4100","84.2500","83.1300"
"2017/05/12","83.4200","3013434.0000","82.8700","83.8800","82.8100"
"2017/05/11","83.0100","3800968.0000","82.4500","83.0200","82.2000"
"2017/05/10","82.8900","4942597.0000","83.2400","83.2400","82.5800"
"2017/05/09","83.3400","3819667.0000","83.3300","83.7700","83.1900"
"2017/05/08","83.3000","3913173.0000","83.9800","83.9800","83.0950"
"2017/05/05","84.0000","4030096.0000","84.1500","84.2100","83.7900"
"2017/05/04","83.9100","3669585.0000","84.1000","84.4100","83.8400"
"2017/05/03","84.0900","3226126.0000","84.7100","84.7100","83.9050"
"2017/05/02","84.7500","5260678.0000","83.6500","84.7900","83.6500"
"2017/05/01","83.7400","4325896.0000","83.0100","84.0600","83.0100"
"2017/04/28","83.0900","3915398.0000","83.0400","83.1100","82.6608"
"2017/04/27","83.1300","4878111.0000","82.2200","83.4950","82.1200"
"2017/04/26","82.1400","4445177.0000","82.2400","82.9700","82.0700"
"2017/04/25","81.7600","4251163.0000","80.7600","82.2100","80.7500"
"2017/04/24","80.6500","4153896.0000","81.3600","81.5400","80.6000"
"2017/04/21","80.4800","3582332.0000","80.9900","81.0700","80.2900"
"2017/04/20","81.0200","5323991.0000","80.1600","81.2400","79.9100"
"2017/04/19","80.3200","3781707.0000","80.7500","80.7500","80.2700"
"2017/04/18","80.3300","4543196.0000","80.6800","80.6800","80.1200"
"2017/04/17","80.3600","2695256.0000","80.1700","80.4100","79.9100"
"2017/04/13","80.0100","3440864.0000","80.0000","80.5000","79.8800"
"2017/04/12","80.1000","3551357.0000","79.7700","80.1600","79.6500"
"2017/04/11","80.1500","2642725.0000","80.1100","80.3499","79.7900"
"2017/04/10","80.3000","2666891.0000","80.3000","80.6100","80.1200"
"2017/04/07","80.3700","2515187.0000","80.2500","80.6500","80.1400"
"2017/04/06","80.2200","3930319.0000","80.6800","80.6800","79.8200"
"2017/04/05","80.2400","3612765.0000","80.9200","81.0900","80.2100"
"2017/04/04","80.6200","3097811.0000","81.0000","81.0700","80.4763"
"2017/04/03","81.0300","3250242.0000","80.8500","81.1600","80.2100"
