"Income Quality","1.8711","-1.0048","-1.0048","5.4271","0.0634","3.1786","-0.5593","-0.5593","4.7521","-0.0598","0.8678","-1.3888","11.4268","0.313","1.306","0.0459","2.9591","0.292","2.0231","0.0432","3.5084","0.0773","1.193","-0.521","4.3145","0.0449","-0.0731","-0.1637","10.1921","0.5771","1.1219","1.1262","10.6094","0.8223","1.5893","-0.3503","5.3477","-0.0151","1.0895","-0.3419","4.0628",""
"Payout Ratio","1.5","0.824","0.0","0.656","0.306","3.083","0.597","0.0","0.5","0.296","0.8","0.471","1.143","0.239","0.703","0.382","0.31","0.222","0.688","0.361","0.289","0.207","0.514","0.367","0.31","0.232","0.533","0.348","1.231","0.268","0.577","0.405","1.0","0.306","0.882","0.652","0.577","0.259","0.583","0.412","0.368",""
"Intangible Assets out of Total Assets","0.3959","0.3817","0.3817","0.3599","0.3599","0.3609","0.3813","0.3797","0.3797","0.3877","0.3616","0.387","0.4258","0.4325","0.4415","0.4836","0.4976","0.483","0.474","0.5121","0.5161","0.5115","0.4862","0.5225","0.5235","0.5349","0.4996","0.4044","0.41","0.4115","0.4312","0.4478","0.4469","0.4484","0.44","0.4495","0.458","0.4165","0.3886","0.4045","0.4136","0.4209"
"Selling, General and Administrative Expense of Revenue","0.4257","0.3887","0.3887","0.3705","0.3016","0.4054","0.3689","0.3689","0.3204","0.2962","0.3902","0.35","0.3108","0.3036","0.3925","0.3492","0.3274","0.3001","0.3944","0.3441","0.3255","0.2965","0.384","0.3339","0.3311","0.2963","0.357","0.332","0.3367","0.3057","0.3651","0.3397","0.3272","0.2914","0.3582","0.3288","0.3311","0.2845","0.3403","0.3185","0.3067",""
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",""
"Working Capital","1466507000.0","2256291000.0","2256291000.0","2507698000.0","2507698000.0","2641827000.0","1407383000.0","1443407000.0","1443407000.0","2221423000.0","1994354000.0","1603965000.0","1655837000.0","2417504000.0","2257735000.0","1909588000.0","1992988000.0","2314981000.0","2039244000.0","1653409000.0","1554227000.0","1717371000.0","1562958000.0","1571770000.0","1459013000.0","1521912000.0","1277828000.0","2031994000.0","1913182000.0","1716585000.0","1727414000.0","1476609000.0","1590706000.0","1536773000.0","1573676000.0","1565059000.0","1523055000.0","1640828000.0","1691063000.0","1503680000.0","1539950000.0","1510742000.0"
"Tangible Asset Value","5542034000.0","5717059000.0","5717059000.0","6233693000.0","6233693000.0","6673847000.0","5985432000.0","6098840000.0","6098840000.0","5902524000.0","6712094000.0","5992779000.0","5511841000.0","5586792000.0","6040354000.0","5274995000.0","5016107000.0","5333492000.0","5497973000.0","4659086000.0","4592870000.0","4706206000.0","5205644000.0","4501403000.0","4528166000.0","4331203000.0","5063109000.0","4050587000.0","3949240000.0","3799993000.0","3805593000.0","3492348000.0","3579611000.0","3571062000.0","3867376000.0","3698698000.0","3551614000.0","3753848000.0","4270055000.0","4038057000.0","3895171000.0","3733253000.0"
"Net Current Asset Value","-1631739000.0","-781071000.0","-781071000.0","-505268000.0","-505268000.0","-751309000.0","-957655000.0","-965443000.0","-965443000.0","-91568000.0","-380033000.0","-759417000.0","-766338000.0","-182849000.0","-429303000.0","-782047000.0","-695802000.0","-355423000.0","-729280000.0","-1067803000.0","-1142653000.0","-1057813000.0","-1206148000.0","-1562208000.0","-1688316000.0","-1600007000.0","-1716757000.0","516000000.0","383337000.0","229823000.0","131887000.0","-86168000.0","3431000.0","-28016000.0","-119865000.0","-340540000.0","-357136000.0","-223613000.0","-17035000.0","-243519000.0","-210582000.0","-224727000.0"
"Invested Capital","5724864000.0","5870651000.0","5870651000.0","5539329000.0","5539329000.0","6847251000.0","5457232000.0","5525935000.0","5525935000.0","4871149000.0","6056589000.0","5447865000.0","5068771000.0","4440476000.0","5360900000.0","4939357000.0","4844982000.0","4439894000.0","5026087000.0","4571798000.0","4600645000.0","4221131000.0","5038869000.0","4917961000.0","4812599000.0","4440154000.0","5042120000.0","3405055000.0","3217449000.0","2873474000.0","3233734000.0","3020074000.0","2989951000.0","2930850000.0","3527636000.0","3641751000.0","3608541000.0","3558270000.0","4189840000.0","3969895000.0","3847245000.0","3557161000.0"
"Average Receivables","1158533500.0","1519356000.0","1187238000.0","1191777500.0","1191777500.0","1537625500.0","1480863000.0","1196156000.0","1252689000.0","1283093000.0","1802654500.0","1174512000.0","1296842000.0","1318333500.0","1713877000.0","1119826000.0","1259575000.0","1291394000.0","1637848500.0","1047306500.0","1207430500.0","1171295500.0","1580160000.0","961518000.0","1049236500.0","946664500.0","1323299500.0","812111500.0","839988000.0","774611500.0","1100868000.0","808018000.0","892094500.0","813711000.0","1208398500.0","937585500.0","1059824000.0","911116500.0","1290204500.0","959306000.0","1062852000.0","890272500.0"
"Average Payables","572939000.0","502022500.0","459548500.0","525563000.0","525563000.0","623175500.0","526122500.0","451629500.0","432950000.0","685724000.0","623199000.0","516147500.0","462661000.0","664787000.0","667042500.0","546455500.0","450248000.0","600685000.0","597251000.0","531230500.0","485224500.0","599877000.0","601106000.0","481428000.0","483536000.0","574057000.0","574463500.0","442034500.0","362989000.0","442092000.0","422046000.0","405223000.0","309986500.0","404283500.0","390361000.0","429966500.0","345718500.0","472630000.0","416263000.0","450835500.0","334799500.0","447789500.0"
"Average Inventory","1592136000.0","1822740000.0","1656689500.0","1542528000.0","1542528000.0","1777678000.0","1819842500.0","1646278000.0","1618995000.0","1519082000.0","1896976000.0","1647022500.0","1568346500.0","1440933000.0","1787223000.0","1569027000.0","1460951000.0","1376610000.0","1755485000.0","1546553500.0","1462944500.0","1403901500.0","1768294000.0","1428124000.0","1349880000.0","1262169500.0","1494604500.0","1194065000.0","1067748000.0","1014666500.0","1191229000.0","1161673500.0","1035127500.0","1055267000.0","1256496500.0","1282511500.0","1144333500.0","1145323500.0","1318918000.0","1280788500.0","1098833500.0","1048507000.0"
