"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40543.0","",""
"Book Value per Share","22.924","21.511","20.546","18.849","17.641","16.585","15.658","14.751","14.11","13.47","13.074","8.21","7.166","6.576","6.299","5.37","5.13","4.956","4.956","5.857","7.083","3.914","3.692","1.953","",""
"Tangible Book Value per Share","18.458","16.682","15.378","13.545","12.191","10.897","9.963","8.906","8.047","7.266","6.54","7.831","7.46","6.816","6.585","5.483","5.855","5.726","5.782","6.039","7.514","4.952","4.649","2.614","",""
"FCF per Share","1.35","1.31","1.764","0.865","0.935","0.825","1.365","0.503","0.476","0.43","1.063","0.296","0.341","0.362","0.305","0.274","0.438","0.164","0.204","0.033","-0.092","-0.009","0.245","0.326","-0.002",""
"Interest Debt per Share","0.0","0.0","0.0","0.0","0.0","0.0","0.0404","0.0449","0.0533","0.0668","0.0844","0.1075","0.1273","0.154","0.1938","0.2366","0.9003","0.9464","0.9933","0.3727","0.3757","0.5241","0.5102","0.4273","",""
"Cash per Share","2.1559","2.4573","3.0902","2.1031","1.7885","2.2708","1.7376","1.5342","1.8323","1.2281","1.5628","3.4785","1.7125","1.178","1.353","1.2757","1.2468","0.9744","1.0051","1.024","1.1166","0.9517","1.1394","1.6125","",""
"Debt to Equity Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0026","0.003","0.0038","0.005","0.0065","0.0131","0.0178","0.0234","0.0308","0.0441","0.1755","0.191","0.2004","0.0636","0.053","0.1339","0.1382","0.2188","",""
"Total Debt To Total Assets","0.0","0.0","0.0","0.0","0.0","0.0","0.0023","0.0027","0.0034","0.0044","0.0058","0.0115","0.0157","0.0206","0.0266","0.0385","0.1378","0.1489","0.156","0.0562","0.0473","0.1029","0.1069","0.1582","",""
"Interest Coverage","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-13.4286","34.8182","-75.5","30.3846","33.4375","38.9","45.3333","57.8571"
"Current Ratio","12.309","12.613","11.966","11.687","12.216","13.163","11.248","10.68","9.012","8.593","9.403","13.059","12.815","13.558","11.882","10.721","10.575","10.388","10.71","11.375","11.574","4.518","5.121","5.774","",""
"Income Quality","1.3779","1.6535","1.4899","1.5074","1.6103","2.0075","2.9266","2.4602","2.6294","3.3399","4.9598","1.5561","1.7018","2.011","2.3673","2.2512","3.994","3.3134","15.8372","-4.2373","-1.5287","3.219","2.4878","3.7667","0.8113","2.2549"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.2751","0.2981","0.318","0.3483","0.3754","0.4051","0.4305","0.4618","0.4901","0.5185","0.5482","0.1624","0.0805","0.0884","0.0962","0.1077","0.1037","0.099","0.0919","0.0887","0.0542","0.0276","0.0256","0.0321","",""
"Selling, General and Administrative Expense of Revenue","0.1893","0.2131","0.1857","0.1944","0.2042","0.2213","0.1957","0.2335","0.2303","0.2523","0.248","0.1976","0.1907","0.2038","0.2142","0.2004","0.2438","0.2599","0.2322","0.2528","0.7221","0.2335","0.1883","0.2055","0.2","0.1628"
"Research and Development Expense of Revenue","0.2059","0.2283","0.1787","0.2195","0.2286","0.2495","0.225","0.2824","0.2895","0.2997","0.2885","0.1898","0.1691","0.1819","0.1582","0.183","0.1897","0.201","0.1874","0.1933","0.5954","0.1446","0.1096","0.1132","0.1106","0.078"
"Working Capital","37489000000.0","34002000000.0","31526000000.0","27733000000.0","24799000000.0","22003000000.0","19727000000.0","17347000000.0","15070000000.0","13258000000.0","11966000000.0","14881000000.0","14343000000.0","13023000000.0","11970000000.0","9565000000.0","10341000000.0","9979000000.0","10215000000.0","11205000000.0","10933000000.0","3655000000.0","3705000000.0","1857000000.0","",""
"Tangible Asset Value","53528000000.0","48228000000.0","44304000000.0","38887000000.0","34817000000.0","30979000000.0","28135000000.0","25008000000.0","22500000000.0","20228000000.0","18056000000.0","20259000000.0","19097000000.0","17346000000.0","16173000000.0","13324000000.0","14093000000.0","13662000000.0","13715000000.0","14615000000.0","14119000000.0","6670000000.0","6169000000.0","2894000000.0","",""
"Net Current Asset Value","33442000000.0","30404000000.0","28634000000.0","24769000000.0","21654000000.0","18887000000.0","16463000000.0","14090000000.0","12273000000.0","10498000000.0","9520000000.0","13165000000.0","13134000000.0","11769000000.0","10645000000.0","8664000000.0","8046000000.0","7703000000.0","7919000000.0","10421000000.0","10348000000.0","3107000000.0","3172000000.0","1418000000.0","",""
"Invested Capital","43961000000.0","38196000000.0","32526000000.0","30254000000.0","27498000000.0","22714000000.0","21417000000.0","19034000000.0","15645000000.0","15249000000.0","12550000000.0","10304000000.0","13825000000.0","13703000000.0","12226000000.0","9815000000.0","12179000000.0","12532000000.0","12635000000.0","11959000000.0","11693000000.0","5055000000.0","4435000000.0","1193000000.0","",""
"Average Receivables","3349000000.0","2881500000.0","3276000000.0","2540000000.0","2308000000.0","1928000000.0","2118500000.0","1686500000.0","1502500000.0","1257000000.0","1393500000.0","1117500000.0","982500000.0","832500000.0","914000000.0","753500000.0","676500000.0","570500000.0","633000000.0","504000000.0","","","","","",""
"Average Payables","481500000.0","406500000.0","497500000.0","444500000.0","341500000.0","341500000.0","395500000.0","359000000.0","321500000.0","295500000.0","323000000.0","267500000.0","274500000.0","269000000.0","251000000.0","210500000.0","211500000.0","286000000.0","234000000.0","159000000.0","","","","","",""
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","",""
