"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","40908.0","",""
"Book Value per Share","3.767","3.13","2.869","3.964","3.473","2.873","2.419","2.944","3.398","0.863","1.092","2.912","3.274","2.945","2.822","2.25","2.239","1.862","2.133","7.566","",""
"Tangible Book Value per Share","14.405","13.491","13.481","13.392","13.703","12.954","12.368","13.176","12.783","12.343","12.626","13.111","13.241","12.905","13.21","12.616","12.391","11.937","11.766","6.665","",""
"FCF per Share","1.177","1.257","0.883","0.822","1.1","1.242","1.115","1.228","1.06","0.903","-0.458","1.007","0.988","0.305","0.687","1.047","1.207","0.692","0.536","1.438","0.93","0.908"
"Interest Debt per Share","23.3461","23.1378","22.7983","22.8615","23.3036","19.7481","19.4181","19.4473","19.2117","9.5755","9.39","9.274","9.2478","9.032","9.2481","9.3138","9.2876","9.4691","9.9379","0.0304","",""
"Cash per Share","3.8169","2.9681","3.1559","3.81","3.8959","4.6757","5.1496","5.5829","4.5679","4.9567","5.2339","6.4665","5.7001","5.1034","6.027","5.6447","5.5022","4.3948","3.7419","0.0171","",""
"Debt to Equity Ratio","6.1969","7.3932","7.9469","5.7675","6.7101","6.8734","8.0281","6.6064","5.6546","11.0915","8.5976","3.1845","2.825","3.0671","3.2776","4.1401","4.1478","5.0852","4.6601","0.004","0.0",""
"Total Debt To Total Assets","0.5558","0.5627","0.5574","0.56","0.5631","0.5941","0.597","0.5859","0.5779","0.572","0.5444","0.5199","0.5075","0.5027","0.5042","0.5242","0.5288","0.5535","0.5803","0.0025","0.0",""
"Interest Coverage","10.3004","9.4453","7.8897","9.056","10.3156","9.88","10.6683","9.3604","11.2317","12.0794","-7.0388","6.3672","21.7681","20.7846","22.1618","19.6377","19.24","19.7727","20.4659","-1603.0","-700.0","-1005.0"
"Current Ratio","1.384","1.758","1.655","1.79","1.811","1.559","1.498","2.032","1.499","1.394","1.411","2.646","2.817","2.788","2.595","2.406","2.302","2.206","2.266","1.247","2.185",""
"Income Quality","1.046","1.2285","1.1078","0.9099","1.1913","1.5716","1.294","1.7393","1.3411","1.5509","0.7136","3.5296","1.5638","0.6367","1.1037","1.8651","1.9073","1.2262","0.611","1.4189","1.232","1.8052"
"Payout Ratio","0.533","0.598","0.663","0.588","0.576","0.687","0.548","0.68","0.607","0.766","-0.84","1.313","0.609","0.656","0.571","0.667","0.597","0.656","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.657","0.6719","0.6704","0.672","0.6689","0.6103","0.6197","0.603","0.6155","0.2626","0.2681","0.2651","0.2733","0.2817","0.2797","0.29","0.2946","0.3023","0.313","0.4616","0.4679",""
"Selling, General and Administrative Expense of Revenue","0.2166","0.2092","0.2432","0.2147","0.2272","0.2274","0.2714","0.248","0.3111","0.2923","0.6128","0.3178","0.294","0.2937","0.2833","0.2707","0.2997","0.2857","0.271","0.2407","0.2773","0.2988"
"Research and Development Expense of Revenue","0.1761","0.1736","0.1751","0.172","0.1742","0.1588","0.168","0.2386","0.1792","0.1609","0.1612","0.1618","0.1693","0.1692","0.1561","0.1533","0.1511","0.1465","0.1308","0.1803","0.1429","0.1538"
"Working Capital","4703000000.0","6703000000.0","6406000000.0","7187000000.0","7519000000.0","5960000000.0","5420000000.0","9099000000.0","5619000000.0","4358000000.0","4688000000.0","10920000000.0","11477000000.0","11113000000.0","10969000000.0","9668000000.0","8857000000.0","8157000000.0","8578000000.0","1457000000.0","4457245000.0",""
"Tangible Asset Value","22976000000.0","21545000000.0","21786000000.0","21856000000.0","22254000000.0","20934000000.0","20173000000.0","21767000000.0","20709000000.0","19687000000.0","20138000000.0","20912000000.0","21106000000.0","20584000000.0","21031000000.0","20060000000.0","19689000000.0","18956000000.0","18555000000.0","10511000000.0","11246345000.0",""
"Net Current Asset Value","-44023000000.0","-45119000000.0","-45276000000.0","-43867000000.0","-44780000000.0","-32455000000.0","-32791000000.0","-32057000000.0","-31474000000.0","-9914000000.0","-9690000000.0","-6254000000.0","-6033000000.0","-6631000000.0","-6858000000.0","-8132000000.0","-8690000000.0","-9289000000.0","-8291000000.0","-235000000.0","2786787000.0",""
"Invested Capital","41866000000.0","44912000000.0","43747000000.0","43845000000.0","44500000000.0","34629000000.0","32551000000.0","35858000000.0","33174000000.0","16004000000.0","15374000000.0","18755000000.0","20444000000.0","20634000000.0","19280000000.0","19019000000.0","18899000000.0","20248000000.0","21550000000.0","4635000000.0","7475453000.0",""
"Average Receivables","4953500000.0","4715000000.0","4744000000.0","4786500000.0","4707500000.0","4483500000.0","4232500000.0","4083000000.0","4025500000.0","3932000000.0","3794500000.0","3695000000.0","3719500000.0","3974500000.0","4076000000.0","3807500000.0","3564052000.0","","","","",""
"Average Payables","8797000000.0","8329000000.0","8921000000.0","8561000000.0","8003000000.0","7349500000.0","7708500000.0","7178500000.0","6648500000.0","6328000000.0","6701000000.0","6376500000.0","6209500000.0","6263000000.0","6091000000.0","6161000000.0","3364892000.0","","","","",""
"Average Inventory","1669000000.0","1608000000.0","1581500000.0","1735500000.0","1689500000.0","1405500000.0","1421500000.0","1424500000.0","1335500000.0","1063000000.0","1137000000.0","1090000000.0","1066500000.0","1070500000.0","1120500000.0","1022000000.0","960635000.0","","","","",""
