"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","41182.0","41090.0","40999.0","40908.0","40543.0","",""
"Book Value per Share","12.285","10.955","10.22","10.731","10.149","9.558","9.787","9.803","10.498","9.154","10.247","11.317","12.171","11.424","11.184","10.408","9.752","9.206","8.934","8.943","8.172","8.058","5.154","8.89","",""
"Tangible Book Value per Share","38.129","36.018","35.302","33.862","33.127","32.926","32.411","33.53","33.113","31.53","31.755","32.955","34.01","32.67","32.009","30.948","29.901","28.731","28.097","28.327","27.265","27.748","20.254","15.185","",""
"FCF per Share","1.574","0.279","1.735","0.783","1.477","0.101","1.898","0.565","1.345","-0.268","2.364","1.055","1.592","-0.445","1.912","0.717","1.282","-0.203","0.53","0.782","0.985","0.101","0.693","0.736","0.687","-0.036"
"Interest Debt per Share","15.2276","14.8551","14.6884","14.9675","14.8981","15.7364","14.3522","11.033","9.5076","9.34","8.2509","8.2186","8.101","8.0072","7.8557","7.8081","7.7774","7.8747","7.7788","6.5123","6.3338","6.3521","4.9922","0.4213","",""
"Cash per Share","2.9655","2.0357","3.1034","1.4585","1.6049","1.6774","1.9194","1.5408","4.0727","1.9216","2.9249","3.4428","3.8688","3.2205","4.5369","3.4164","3.2251","2.6503","3.5137","5.1257","4.7105","4.3413","3.2569","5.5625","",""
"Debt to Equity Ratio","1.2396","1.3561","1.4372","1.3947","1.4679","1.6464","1.4665","1.1255","0.9057","1.0203","0.8052","0.7263","0.6656","0.7009","0.7024","0.7502","0.7975","0.8554","0.8707","0.7282","0.7751","0.7883","0.9687","0.0474","",""
"Total Debt To Total Assets","0.3119","0.32","0.3231","0.3361","0.3401","0.3606","0.3348","0.2893","0.2531","0.2597","0.2263","0.2247","0.2141","0.219","0.2183","0.2237","0.2299","0.2412","0.2421","0.2168","0.2187","0.2152","0.2304","0.0261","",""
"Interest Coverage","13.3143","12.6471","10.303","9.5366","9.3415","13.1951","8.2286","16.5","25.1667","9.4375","13.2941","11.9394","14.2727","12.1143","10.6216","11.0882","13.2222","9.6944","4.3611","11.0313","13.9697","12.9714","9.1795","10.5405","10.0488","68.8333"
"Current Ratio","1.403","1.341","1.306","1.34","1.295","1.251","1.304","1.255","1.573","1.49","1.343","1.478","1.521","1.496","1.477","1.5","1.479","1.466","1.429","1.607","1.583","1.547","1.482","2.061","",""
"Income Quality","1.6233","0.8657","2.4306","1.4164","2.2287","0.6306","3.6198","0.8391","0.8279","0.6459","2.5378","1.6361","1.6414","0.425","2.2819","1.4686","1.4251","0.5399","2.2794","1.539","1.397","0.8567","1.6138","1.5414","1.151","0.5361"
"Payout Ratio","0.21","0.234","0.279","0.269","0.305","0.188","0.357","0.175","0.112","0.347","0.214","0.245","0.198","0.238","0.175","0.193","0.144","0.193","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.2191","0.2241","0.2236","0.2396","0.2439","0.2455","0.244","0.1208","0.1184","0.1235","0.1291","0.0991","0.1011","0.1064","0.1103","0.1135","0.116","0.1199","0.1254","0.0569","0.0585","0.0599","0.0653","0.06","",""
"Selling, General and Administrative Expense of Revenue","0.0697","0.0671","0.0721","0.068","0.0661","0.0684","0.065","0.0686","0.0677","0.0672","0.0709","0.0688","0.0643","0.0636","0.0783","0.0568","0.0568","0.0572","0.0674","0.0587","0.0575","0.0557","0.06","0.0565","0.057","0.0513"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","1679000000.0","1395000000.0","1271000000.0","1306000000.0","1152000000.0","1021000000.0","1194000000.0","1026000000.0","2162000000.0","1869000000.0","1335000000.0","1838000000.0","2084000000.0","1950000000.0","1858000000.0","1930000000.0","1824000000.0","1713000000.0","1568000000.0","2227000000.0","2154000000.0","2128000000.0","1789000000.0","3947000000.0","",""
"Tangible Asset Value","10196000000.0","9696000000.0","9544000000.0","9217000000.0","9041000000.0","9108000000.0","9051000000.0","9488000000.0","9529000000.0","9172000000.0","9337000000.0","9840000000.0","10294000000.0","9992000000.0","9828000000.0","9584000000.0","9327000000.0","9041000000.0","8900000000.0","9091000000.0","8885000000.0","9108000000.0","8532000000.0","10417000000.0","",""
"Net Current Asset Value","-3922000000.0","-4061000000.0","-4110000000.0","-4054000000.0","-4136000000.0","-4345000000.0","-4119000000.0","-2964000000.0","-1854000000.0","-2114000000.0","-2484000000.0","-1862000000.0","-1686000000.0","-1808000000.0","-1861000000.0","-1801000000.0","-1876000000.0","-1989000000.0","-2119000000.0","-872000000.0","-924000000.0","-1027000000.0","-1456000000.0","2683000000.0","",""
"Invested Capital","9305000000.0","9055000000.0","8528000000.0","9053000000.0","8770000000.0","8936000000.0","8596000000.0","8146000000.0","7321000000.0","7512000000.0","7014000000.0","7422000000.0","7577000000.0","7526000000.0","6953000000.0","7087000000.0","6938000000.0","7011000000.0","6592000000.0","5866000000.0","5718000000.0","5880000000.0","5551000000.0","3171000000.0","",""
"Average Receivables","3013500000.0","3033000000.0","2844000000.0","2799000000.0","2800000000.0","2805500000.0","2575000000.0","2727000000.0","2874500000.0","2871500000.0","2531000000.0","2847500000.0","2958500000.0","2930500000.0","2543500000.0","2698000000.0","2751500000.0","2824500000.0","2442000000.0","2423500000.0","","","","","",""
"Average Payables","2565000000.0","2531500000.0","2552000000.0","2435500000.0","2456500000.0","2400500000.0","2409500000.0","2424000000.0","2541000000.0","2484000000.0","2436500000.0","2512500000.0","2598500000.0","2533500000.0","2436500000.0","2374000000.0","2428500000.0","2427500000.0","2337500000.0","2240000000.0","","","","","",""
"Average Inventory","1401500000.0","1331000000.0","1206500000.0","1281000000.0","1234000000.0","1184000000.0","1097000000.0","1207000000.0","1206000000.0","1158000000.0","1053000000.0","1230000000.0","1212000000.0","1191500000.0","1079500000.0","1177000000.0","1134000000.0","1142500000.0","1060000000.0","1054500000.0","","","","","",""
