"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","","",""
"Book Value per Share","4.608","4.846","17.88","19.75","19.323","18.941","18.183","15.841","15.51","14.204","14.479","14.595","14.729","13.821","13.294","","",""
"Tangible Book Value per Share","8.732","8.901","44.661","41.037","40.797","40.189","39.742","40.474","40.468","40.136","39.695","39.947","40.027","39.591","39.993","","",""
"FCF per Share","0.864","0.136","0.906","0.612","0.685","0.741","0.899","0.829","0.839","0.579","0.914","0.914","0.856","0.271","2.931","","",""
"Interest Debt per Share","20.135","20.1042","20.0529","31.5253","31.6529","31.7288","31.7575","32.8604","33.9967","34.8254","35.624","36.7574","37.5192","38.1255","38.7654","","",""
"Cash per Share","2.7648","2.9903","3.5856","3.428","3.2765","2.9548","2.6006","2.7465","2.3059","2.4862","2.34","2.5319","2.5259","2.1998","2.6203","","",""
"Debt to Equity Ratio","4.3696","4.1483","1.1215","1.5962","1.6381","1.6752","1.7465","2.0744","2.192","2.4517","2.4604","2.5186","2.5474","2.7586","2.9161","6.9513","8.9893",""
"Total Debt To Total Assets","0.4639","0.464","0.2524","0.402","0.4039","0.4062","0.408","0.4171","0.4295","0.4412","0.4475","0.4583","0.4647","0.4741","0.479","0.591","0.6148",""
"Interest Coverage","3.74","2.0481","2.6275","3.2432","4.0505","3.0889","3.3542","4.8116","3.0537","3.1736","2.9338","2.9872","3.0886","2.3464","1.3288","3.126","2.8244","1.5035"
"Current Ratio","1.005","1.052","1.325","1.164","1.1","1.076","1.058","1.034","1.031","1.083","1.107","1.128","1.14","1.156","1.113","1.203","1.374",""
"Income Quality","1.8855","0.8514","-1.0698","1.5027","1.4017","1.0971","0.5111","1.2294","2.2484","1.9067","2.5823","2.1148","1.7464","1.1951","41.4231","1.93","3.0065","5.0588"
"Payout Ratio","0.294","111.955","-0.181","0.368","0.288","0.223","0.085","0.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.7988","0.7946","0.4378","0.4767","0.4794","0.4855","0.4895","0.4863","0.4887","0.4915","0.5013","0.5019","0.5042","0.5077","0.5058","0.5014","0.4998",""
"Selling, General and Administrative Expense of Revenue","0.0499","0.0486","0.0767","0.05","0.0497","0.0481","0.0413","0.0501","0.0756","0.0489","0.0502","0.045","0.0499","0.041","0.1623","0.0531","0.0387","0.0429"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","10000000.0","102000000.0","873000000.0","426000000.0","267000000.0","193000000.0","142000000.0","88000000.0","75000000.0","191000000.0","242000000.0","274000000.0","297000000.0","309000000.0","241000000.0","478000000.0","826000000.0",""
"Tangible Asset Value","2871000000.0","2935000000.0","14735000000.0","13539000000.0","13460000000.0","13234000000.0","13081000000.0","13322000000.0","13320000000.0","13173000000.0","13028000000.0","13111000000.0","13137000000.0","12994000000.0","13126000000.0","13496000000.0","13661000000.0",""
"Net Current Asset Value","-10755000000.0","-10622000000.0","-16805000000.0","-16356000000.0","-16577000000.0","-16778000000.0","-17086000000.0","-18106000000.0","-18481000000.0","-18794000000.0","-18912000000.0","-19160000000.0","-19333000000.0","-19651000000.0","-19903000000.0","-22084000000.0","-22577000000.0",""
"Invested Capital","6593000000.0","6611000000.0","17484000000.0","20211000000.0","20159000000.0","20164000000.0","20235000000.0","20676000000.0","21325000000.0","21489000000.0","21695000000.0","22204000000.0","22502000000.0","22799000000.0","22847000000.0","25837000000.0","26807000000.0",""
"Average Receivables","1480000000.0","1422500000.0","1323500000.0","1998000000.0","1975000000.0","1890000000.0","1843000000.0","1857000000.0","1853500000.0","1783500000.0","1737500000.0","1724500000.0","1653500000.0","","","","",""
"Average Payables","2124500000.0","2024500000.0","2013500000.0","2307500000.0","2315000000.0","2191500000.0","2152500000.0","2132000000.0","2129500000.0","2034000000.0","2089000000.0","1962500000.0","1902500000.0","","","","",""
"Average Inventory","229500000.0","234500000.0","221000000.0","469000000.0","441500000.0","445000000.0","423000000.0","390000000.0","391500000.0","409000000.0","400000000.0","382500000.0","455500000.0","","","","",""
