"","42918.0","42827.0","42735.0","42645.0","42554.0","42463.0","42369.0","42274.0","42183.0","42092.0","42004.0","41910.0","41819.0","41728.0","41639.0","41546.0","41455.0","41364.0","41274.0","40908.0","40543.0",""
"Book Value per Share","3.494","3.268","3.01","3.201","2.734","2.342","2.144","2.462","2.351","2.55","2.614","2.72","2.515","2.153","1.88","1.686","1.6","1.418","8.052","7.44","6.688",""
"Tangible Book Value per Share","10.385","9.992","10.001","9.968","9.724","9.618","10.573","9.704","9.464","9.032","9.74","9.548","9.509","9.264","9.546","8.928","8.89","8.604","8.818","7.588","6.852",""
"FCF per Share","0.263","0.156","0.458","0.368","0.167","0.012","0.395","0.304","0.152","0.03","0.67","0.122","0.234","-0.136","0.498","0.118","-0.14","0.518","0.53","0.096","0.1","-0.07"
"Interest Debt per Share","9.3093","9.0739","9.0453","9.0206","9.0046","8.9827","9.7706","7.2796","7.2911","7.274","7.2394","7.2828","7.2938","7.3126","7.3139","7.304","7.304","7.292","1.164","1.15","1.422",""
"Cash per Share","1.4364","1.2774","1.4718","1.3146","1.3258","1.3571","2.3162","1.1859","1.0876","1.1155","1.7585","1.1925","1.1538","1.0115","1.22","0.778","0.738","0.936","0.634","0.158","0.126",""
"Debt to Equity Ratio","2.6641","2.7769","3.0047","2.8183","3.2933","3.8352","4.5581","2.9569","3.1012","2.8521","2.7696","2.6774","2.9","3.3965","3.8904","4.3321","4.565","5.1425","0.1446","0.1546","0.2126",""
"Total Debt To Total Assets","0.5856","0.5841","0.5841","0.579","0.5944","0.5995","0.6152","0.5435","0.5527","0.5669","0.5512","0.5595","0.5603","0.5713","0.5576","0.5835","0.5833","0.5936","0.0929","0.1007","0.1346",""
"Interest Coverage","9.4146","9.1951","6.6341","9.1707","9.0976","8.7209","2.8684","10.3793","0.0345","9.2143","6.1667","9.1724","7.7931","8.8276","5.2333","7.3793","6.8438","9.7273","10.25","31.5714","32.5","22.25"
"Current Ratio","2.009","1.955","3.035","3.238","3.203","2.844","2.15","2.081","2.109","2.27","3.191","3.36","3.136","2.859","2.372","2.357","2.333","2.286","2.55","2.741","2.619",""
"Income Quality","0.7287","0.5","1.8571","1.0","0.6116","0.25","12.6364","1.0794","-3.2973","0.3636","3.0714","0.6205","1.1691","-0.1484","2.8381","0.8702","-0.0938","2.0071","-31.0","0.4568","0.4277","-0.036"
"Payout Ratio","0.42","0.208","0.313","0.0","0.422","0.244","1.6","0.211","-1.143","0.242","0.28","0.212","0.259","0.226","0.333","0.269","0.269","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.3467","0.3568","0.3542","0.3602","0.3581","0.3581","0.3343","0.2755","0.2825","0.2961","0.2585","0.2664","0.2695","0.2763","0.2722","0.2868","0.29","0.2996","0.2959","0.3357","0.3516",""
"Selling, General and Administrative Expense of Revenue","0.2648","0.251","0.2827","0.278","0.2839","0.2711","0.3336","0.3081","0.3226","0.3212","0.3765","0.3256","0.342","0.3245","0.3652","0.3617","0.3582","0.3275","0.3852","0.3288","0.3144","0.3228"
"Research and Development Expense of Revenue","0.0678","0.0731","0.0846","0.0725","0.0728","0.0775","0.0856","0.075","0.0715","0.0726","0.0939","0.0769","0.0794","0.0793","0.0965","0.0843","0.0853","0.0826","0.1029","0.0922","0.0841","0.0974"
"Working Capital","1800000000.0","1653000000.0","2273000000.0","2325000000.0","2289000000.0","2144000000.0","2049000000.0","1792000000.0","1744000000.0","1740000000.0","2379000000.0","2355000000.0","2266000000.0","2095000000.0","1942000000.0","1775000000.0","1761000000.0","1655000000.0","1741000000.0","1468000000.0","1308000000.0",""
"Tangible Asset Value","5097000000.0","4920000000.0","4940000000.0","4936000000.0","4826000000.0","4784000000.0","5268000000.0","4844000000.0","4734000000.0","4526000000.0","4885000000.0","4788000000.0","4764000000.0","4634000000.0","4773000000.0","4464000000.0","4445000000.0","4302000000.0","4409000000.0","3794000000.0","3426000000.0",""
"Net Current Asset Value","-2472000000.0","-2631000000.0","-2760000000.0","-2753000000.0","-2819000000.0","-2959000000.0","-2992000000.0","-1982000000.0","-2080000000.0","-2015000000.0","-1786000000.0","-1785000000.0","-1912000000.0","-2082000000.0","-2239000000.0","-2310000000.0","-2356000000.0","-2476000000.0","643000000.0","336000000.0","176000000.0",""
"Invested Capital","7177000000.0","7029000000.0","7564000000.0","7713000000.0","7598000000.0","7414000000.0","7201000000.0","6228000000.0","6265000000.0","6242000000.0","6548000000.0","6844000000.0","6779000000.0","6659000000.0","6405000000.0","6419000000.0","6407000000.0","6193000000.0","3551000000.0","3447000000.0","3266000000.0",""
"Average Receivables","931500000.0","931000000.0","925000000.0","976500000.0","940500000.0","906500000.0","958500000.0","1047500000.0","1045500000.0","1002500000.0","1059000000.0","1083500000.0","1117500000.0","1091500000.0","1019000000.0","990500000.0","955000000.0","","","","",""
"Average Payables","261000000.0","271000000.0","328500000.0","273500000.0","274500000.0","278500000.0","336000000.0","282500000.0","307500000.0","348500000.0","437000000.0","387000000.0","478500000.0","545000000.0","430500000.0","364500000.0","413000000.0","","","","",""
"Average Inventory","1511500000.0","1498000000.0","1484500000.0","1483000000.0","1471000000.0","1403500000.0","1378000000.0","1395500000.0","1376500000.0","1331000000.0","1291000000.0","1339000000.0","1296500000.0","1218000000.0","1319000000.0","1176500000.0","1126000000.0","","","","",""
