"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","41364.0","41274.0","40908.0","",""
"Book Value per Share","21.9","20.334","19.974","19.977","18.145","17.284","16.514","17.235","16.573","15.512","16.538","14.191","13.245","13.014","12.827","12.596","11.688","12.108","11.32","10.37","",""
"Tangible Book Value per Share","51.506","47.786","47.396","47.279","47.368","44.883","43.933","41.958","41.383","41.137","43.534","33.278","32.705","32.694","29.442","29.322","29.301","27.126","29.871","27.883","",""
"FCF per Share","-2.03","1.394","-0.111","0.835","-0.947","0.872","-3.155","0.598","1.174","1.077","-0.775","0.513","1.218","-2.526","0.173","0.337","-2.467","-0.015","-0.291","0.369","-0.299","0.753"
"Interest Debt per Share","29.3234","27.1508","28.1657","28.1033","28.8712","27.7245","27.9432","24.9962","25.5382","26.5659","28.576","17.0451","17.087","17.8111","15.2474","15.2283","15.6434","13.3013","16.7402","17.0804","",""
"Cash per Share","0.9622","0.9662","0.565","0.6844","0.6431","0.6815","0.5064","1.0123","0.7663","0.5413","0.3987","0.2749","0.3097","0.3157","0.2753","0.2786","0.4061","0.4094","0.2551","0.3313","",""
"Debt to Equity Ratio","1.339","1.3353","1.4101","1.4068","1.5912","1.6041","1.6921","1.4503","1.541","1.7126","1.7279","1.2011","1.2901","1.3686","1.1887","1.209","1.3384","1.0986","1.4788","1.6471","",""
"Total Debt To Total Assets","0.4793","0.4723","0.4932","0.4931","0.5057","0.5078","0.5216","0.4838","0.4932","0.514","0.5301","0.4697","0.4788","0.4993","0.4703","0.4713","0.4844","0.4403","0.5027","0.5462","",""
"Interest Coverage","4.1975","2.2077","1.801","6.7304","3.1608","2.244","1.5554","6.1285","4.074","0.5925","0.5727","7.3059","4.6014","2.3435","2.4906","7.7147","0.9248","0.2621","1.0255","3.7245","1.7382","1.0711"
"Current Ratio","0.194","0.195","0.178","0.186","0.17","0.158","0.144","0.181","0.162","0.137","0.136","0.146","0.152","0.149","0.17","0.174","0.172","0.198","0.175","0.186","",""
"Income Quality","2.4426","7.0254","2.0892","0.9952","2.8775","4.5077","1.7956","1.0393","2.5042","-14.6714","2.543","0.9032","2.6069","4.4499","2.1317","0.852","-19.3061","-0.8517","20.9601","0.9419","2.702","48.2442"
"Payout Ratio","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.1582","0.1687","0.1701","0.1705","0.1703","0.1779","0.1799","0.1878","0.2008","0.2041","0.1924","0.0829","0.0836","0.0835","0.0919","0.0925","0.0928","0.102","0.1029","0.1084","",""
"Selling, General and Administrative Expense of Revenue","0.1441","0.1669","0.1435","0.1177","0.1258","0.1676","0.1381","0.1172","0.0987","0.1643","0.1769","0.1071","0.1085","0.1256","0.107","0.0973","0.115","0.1615","0.1201","0.0857","0.106","0.1381"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","-2140211000.0","-2018408000.0","-1901725000.0","-1912290000.0","-2152234000.0","-2097173000.0","-2026108000.0","-1990086000.0","-2074171000.0","-2049148000.0","-1802864000.0","-1112388000.0","-1169676000.0","-1069665000.0","-892564000.0","-890694000.0","-970064000.0","-839375000.0","-780160000.0","-665303000.0","",""
"Tangible Asset Value","11739720000.0","10869795000.0","10767455000.0","10736884000.0","10751293000.0","10199283000.0","10058301000.0","9540709000.0","9340062000.0","9227039000.0","9262540000.0","6762719000.0","6703473000.0","6707569000.0","6039648000.0","5994219000.0","5977303000.0","5380400000.0","5327097000.0","4959619000.0","",""
"Net Current Asset Value","-8440511000.0","-7962618000.0","-8025092000.0","-7969914000.0","-8399358000.0","-8085212000.0","-8143466000.0","-7387075000.0","-7547015000.0","-7788719000.0","-7666448000.0","-4299429000.0","-4389798000.0","-4461709000.0","-3836788000.0","-3843610000.0","-4003321000.0","-3383375000.0","-3754714000.0","-3565805000.0","",""
"Invested Capital","15550004000.0","14319200000.0","14724977000.0","14614623000.0","14566012000.0","13854424000.0","13973382000.0","12562988000.0","12456935000.0","12690595000.0","13171140000.0","8867737000.0","8762338000.0","9040109000.0","8035482000.0","7972555000.0","7914590000.0","6891384000.0","7321861000.0","7121328000.0","",""
"Average Receivables","55362500.0","46781000.0","54105500.0","48916500.0","48583500.0","38285500.0","38714000.0","33965500.0","31973000.0","24479000.0","25346000.0","21826500.0","21757500.0","15693500.0","16661000.0","12938000.0","","","","","",""
"Average Payables","46876500.0","73174500.0","52129500.0","67339500.0","70154500.0","108334000.0","112366000.0","128487500.0","135229500.0","156542000.0","168467500.0","191316000.0","192050500.0","183904000.0","232423500.0","146066000.0","","","","","",""
"Average Inventory","72393000.0","66911000.0","62214000.0","60464500.0","63749000.0","59509000.0","57364000.0","53104500.0","56183500.0","52370500.0","50135000.0","48582000.0","48997500.0","45198500.0","41698000.0","41067500.0","","","","","",""
