"Income Quality","1.7578","37.1","4.3656","2.7931","2.8302","330.0","4.3209","1.1276","1.2034","1.3356","0.4862","1.6042","1.0269","3.8492","2.1645","2.4226","-0.7352","2.8676","2.706","1.4975","0.3305","0.5822","-8.5067","1.5172","0.0461","1.7297","8.3783","-0.0181",""
"Payout Ratio","0.383","6.0","0.837","1.286","0.212","0.889","0.181","0.164","0.153","0.176","0.21","0.141","0.618","0.206","1.556","0.185","0.156","0.15","0.094","0.108","0.153","-1.3","0.063","0.0","0.0","0.0","0.0","0.0",""
"Intangible Assets out of Total Assets","0.0789","0.0783","0.0808","0.0843","0.0827","0.0874","0.0932","0.0519","0.0511","0.0519","0.0515","0.0485","0.0319","0.0322","0.033","0.0323","0.0316","0.0302","0.0342","0.035","0.0375","0.0333","0.0327","0.0334","0.0351","0.036","","",""
"Selling, General and Administrative Expense of Revenue","0.0264","0.0237","0.0235","0.0255","0.0239","0.0295","0.0276","0.0209","0.0191","0.0208","0.0166","0.0134","0.0117","0.0148","0.0135","0.0116","0.0139","0.0107","0.0152","0.0138","0.018","0.0124","0.0131","0.0145","0.0139","0.0121","0.0123","0.0142","0.0144"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","3685000000.0","4176000000.0","3255000000.0","3205000000.0","3522000000.0","2502000000.0","3126000000.0","3175000000.0","2706000000.0","2707000000.0","2760000000.0","2515000000.0","2541000000.0","2602000000.0","2913000000.0","3130000000.0","4011000000.0","4569000000.0","4826000000.0","4208000000.0","3138000000.0","2379000000.0","2410000000.0","3057000000.0","1964000000.0","1436000000.0","","",""
"Tangible Asset Value","41861000000.0","42235000000.0","40826000000.0","39645000000.0","40485000000.0","38109000000.0","39096000000.0","28596000000.0","29087000000.0","28616000000.0","28859000000.0","30168000000.0","28439000000.0","28221000000.0","27447000000.0","28065000000.0","28757000000.0","29843000000.0","26293000000.0","25653000000.0","23756000000.0","24464000000.0","24903000000.0","24383000000.0","23122000000.0","22395000000.0","","",""
"Net Current Asset Value","-14440000000.0","-13982000000.0","-12809000000.0","-12791000000.0","-12901000000.0","-14167000000.0","-13969000000.0","-6375000000.0","-6932000000.0","-7149000000.0","-7696000000.0","-7552000000.0","-4743000000.0","-4953000000.0","-4316000000.0","-4208000000.0","-3246000000.0","-3064000000.0","-2089000000.0","-2600000000.0","-3649000000.0","-4510000000.0","-4239000000.0","-3507000000.0","-4474000000.0","-4932000000.0","","",""
"Invested Capital","46259000000.0","45800000000.0","43365000000.0","43162000000.0","43008000000.0","43772000000.0","43549000000.0","25558000000.0","25179000000.0","24935000000.0","25388000000.0","24206000000.0","18897000000.0","18868000000.0","18727000000.0","19049000000.0","18857000000.0","17794000000.0","16591000000.0","17307000000.0","17628000000.0","16379000000.0","15540000000.0","16113000000.0","16225000000.0","17554000000.0","","",""
"Average Receivables","3229000000.0","2943000000.0","3272000000.0","3130000000.0","3537500000.0","2983000000.0","3492500000.0","4197500000.0","4800500000.0","4392000000.0","4808500000.0","5432000000.0","5944000000.0","5464500000.0","5084500000.0","5347000000.0","5435500000.0","5688000000.0","5035500000.0","5007500000.0","4875000000.0","5132500000.0","","","","","","",""
"Average Payables","5641000000.0","5128000000.0","5684500000.0","5452000000.0","6087000000.0","5123000000.0","6167000000.0","7240500000.0","7907000000.0","7716500000.0","7864000000.0","9186500000.0","9052500000.0","9380000000.0","7894500000.0","8270000000.0","7632500000.0","8626000000.0","7825000000.0","7246500000.0","6965500000.0","7562000000.0","","","","","","",""
"Average Inventory","5378500000.0","5187500000.0","5440500000.0","5540000000.0","5374500000.0","5210000000.0","5433500000.0","5582000000.0","5580500000.0","5563000000.0","5165500000.0","5661000000.0","5225500000.0","5284000000.0","4069000000.0","4801500000.0","4430000000.0","4115500000.0","3384500000.0","3752000000.0","3854500000.0","3211500000.0","","","","","","",""
