"","42916.0","42825.0","42735.0","42643.0","42551.0","42460.0","42369.0","42277.0","42185.0","42094.0","42004.0","41912.0","41820.0","41729.0","41639.0","41547.0","41455.0","","",""
"Book Value per Share","18.544","19.156","18.844","19.874","19.938","20.065","20.29","20.006","20.482","21.299","21.739","22.177","22.871","22.511","22.025","22.15","21.696","","",""
"Tangible Book Value per Share","14.494","14.98","14.515","15.511","16.487","16.895","16.554","16.536","16.751","16.984","17.315","18.942","19.982","20.145","19.236","19.747","18.541","","",""
"FCF per Share","0.509","0.267","0.366","-0.546","0.552","0.202","0.255","0.134","0.166","0.369","0.462","0.218","0.193","0.516","0.463","-0.014","-0.041","","",""
"Interest Debt per Share","0.4744","0.4695","0.461","0.6498","0.6362","0.6357","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","",""
"Cash per Share","3.465","3.1815","2.6903","2.5837","3.7018","3.3975","3.24","3.2689","3.3454","3.4905","3.3065","4.7234","5.4316","5.5387","5.0238","4.6439","4.1135","","",""
"Debt to Equity Ratio","0.0256","0.0245","0.0245","0.0327","0.0319","0.0317","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8811","",""
"Total Debt To Total Assets","0.019","0.0183","0.0184","0.0247","0.0238","0.0235","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.593","",""
"Interest Coverage","-44.8889","6.0","-20.4","-1.2857","20.5556","-21.4545","11.1818","8.0","-22.5714","5.0","17.0","7.5882","5.7222","3.8824","-2.75","-25.4118","-62.9565","14.12","78.5","-9.9091"
"Current Ratio","1.556","1.529","1.545","1.455","1.593","1.475","1.811","1.795","1.902","1.799","1.74","2.122","2.328","2.15","2.23","1.977","2.139","1.263","",""
"Income Quality","-0.641","-43.0","-0.9412","17.8667","3.9444","-1.1879","3.254","0.8057","-0.0132","12.2609","2.2657","3.3846","17.3846","8.25","2.3046","2.1852","-0.0721","1.2848","0.0658","0.9457"
"Payout Ratio","0.0","-10.0","0.0","-3.333","0.0","-0.385","0.0","0.333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Intangible Assets out of Total Assets","0.4205","0.4148","0.4192","0.4106","0.3824","0.376","0.3532","0.3493","0.3502","0.3712","0.3711","0.3197","0.2983","0.2949","0.3033","0.3006","0.3139","0.3857","",""
"Selling, General and Administrative Expense of Revenue","0.3462","0.3347","0.3143","0.345","0.3302","0.3432","0.3184","0.3227","0.3245","0.3199","0.2901","0.2998","0.2536","0.3099","0.2846","0.3069","0.331","0.3014","0.2882","0.3329"
"Research and Development Expense of Revenue","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Working Capital","1363000000.0","1301000000.0","1266000000.0","1041000000.0","1447000000.0","1257000000.0","1699000000.0","1723000000.0","1904000000.0","1815000000.0","1723000000.0","2572000000.0","3006000000.0","2872000000.0","2820000000.0","2585000000.0","2472000000.0","648000000.0","",""
"Tangible Asset Value","8433000000.0","8711000000.0","8438000000.0","8999000000.0","9562000000.0","9806000000.0","9621000000.0","9601000000.0","9769000000.0","9863000000.0","10044000000.0","10968000000.0","11570000000.0","11664000000.0","11135000000.0","11430000000.0","10732000000.0","8041000000.0","",""
"Net Current Asset Value","336000000.0","293000000.0","292000000.0","-195000000.0","188000000.0","34000000.0","899000000.0","914000000.0","1095000000.0","928000000.0","849000000.0","1724000000.0","2180000000.0","1995000000.0","2000000000.0","1826000000.0","1676000000.0","-1056000000.0","",""
"Invested Capital","4241000000.0","4673000000.0","4817000000.0","5590000000.0","5342000000.0","5555000000.0","5642000000.0","5537000000.0","5708000000.0","5563000000.0","5797000000.0","5940000000.0","6161000000.0","5959000000.0","5935000000.0","6097000000.0","6180000000.0","12203000000.0","",""
"Average Receivables","1252500000.0","1290000000.0","1468500000.0","1327500000.0","1256000000.0","1307000000.0","1457000000.0","1416000000.0","1368500000.0","1422500000.0","1493000000.0","1448500000.0","1518000000.0","1427000000.0","","","","","",""
"Average Payables","219500000.0","228000000.0","244000000.0","256000000.0","227500000.0","226000000.0","284000000.0","272000000.0","257000000.0","235000000.0","322500000.0","461500000.0","259000000.0","264500000.0","","","","","",""
"Average Inventory","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","",""
