Date,Open,High,Low,Close,Adj Close,Volume
2016-07-01,148.490005,150.699997,148.070007,148.250000,145.841675,3096800
2016-07-05,146.720001,146.940002,143.330002,144.449997,142.103409,3943000
2016-07-06,142.940002,145.940002,142.619995,145.580002,143.215042,2941800
2016-07-07,146.000000,148.089996,145.360001,147.000000,144.611969,2574100
2016-07-08,149.360001,150.919998,148.309998,150.380005,147.937073,3281400
2016-07-11,151.490005,152.979996,151.380005,152.190002,149.717667,3041600
2016-07-12,154.000000,157.250000,153.919998,156.919998,154.370834,5110800
2016-07-13,157.000000,158.270004,156.149994,157.919998,155.354584,4276400
2016-07-14,160.289993,163.240005,160.009995,162.539993,159.899521,5087700
2016-07-15,162.860001,163.139999,160.699997,161.639999,159.014160,3078400
2016-07-18,162.360001,164.089996,162.009995,163.330002,160.676712,4734500
2016-07-19,162.020004,164.080002,160.729996,161.410004,158.787888,5399700
2016-07-20,162.550003,162.889999,159.220001,161.770004,159.142029,3547800
2016-07-21,161.710007,161.899994,159.770004,160.050003,157.449982,2855500
2016-07-22,160.289993,160.729996,159.860001,160.410004,157.804153,1811700
2016-07-25,159.639999,161.330002,159.610001,160.509995,157.902496,1956100
2016-07-26,160.679993,161.500000,159.419998,161.160004,158.541946,2150100
2016-07-27,161.199997,162.169998,160.410004,160.990005,158.374710,2317200
2016-07-28,160.179993,160.960007,158.839996,160.529999,157.922150,2047400
2016-07-29,159.509995,160.190002,158.649994,158.809998,156.230103,2388200
2016-08-01,158.809998,159.919998,157.929993,158.179993,155.610336,2316300
2016-08-02,157.649994,158.460007,155.369995,156.059998,153.524780,3182800
2016-08-03,156.449997,158.949997,156.179993,158.339996,155.767731,2284700
2016-08-04,158.220001,158.899994,157.410004,158.050003,155.482468,2004800
2016-08-05,159.750000,162.130005,159.199997,162.089996,159.456848,2676100
2016-08-08,162.100006,163.979996,162.009995,162.830002,160.184814,2266600
2016-08-09,162.500000,164.580002,162.500000,163.440002,160.784897,1957400
2016-08-10,163.449997,163.600006,162.009995,162.190002,159.555237,1656100
2016-08-11,162.199997,164.250000,161.929993,163.860001,161.198074,1822500
