"date","close","volume","open","high","low"
"15:16","254.305","123,638","252.43","254.71","252.175"
"2017/10/19","251.9600","299611.0000","249.7200","251.9600","248.9300"
"2017/10/18","250.2300","228769.0000","251.0300","251.3900","249.2400"
"2017/10/17","250.7000","511922.0000","251.4000","252.0700","250.3700"
"2017/10/16","251.7700","187756.0000","250.1900","251.8650","249.2400"
"2017/10/13","250.1000","368751.0000","252.2000","253.1600","249.4900"
"2017/10/12","252.0500","298066.0000","249.1700","252.2500","249.1000"
"2017/10/11","249.9100","424417.0000","251.8100","251.9290","249.0400"
"2017/10/10","251.7600","493411.0000","251.7000","252.4900","250.7599"
"2017/10/09","251.2600","587232.0000","252.4600","252.5600","250.5750"
"2017/10/06","251.9900","206303.0000","251.1000","252.1700","250.1600"
"2017/10/05","251.0200","265709.0000","249.7600","251.5300","248.9900"
"2017/10/04","249.6600","255652.0000","249.8600","251.1000","249.1600"
"2017/10/03","249.8600","341848.0000","248.5600","249.9400","247.4500"
"2017/10/02","247.8000","343898.0000","243.4500","247.9100","243.4500"
"2017/09/29","243.4000","304619.0000","241.3700","243.8300","240.8450"
"2017/09/28","241.7100","391190.0000","240.4200","241.7300","240.0400"
"2017/09/27","241.0300","370403.0000","244.0500","244.9200","240.3400"
"2017/09/26","243.4100","261878.0000","244.7600","245.6800","242.7500"
"2017/09/25","244.2600","310019.0000","246.2100","246.6000","242.8600"
"2017/09/22","246.1600","319153.0000","246.0900","247.5400","245.4400"
"2017/09/21","246.5600","397565.0000","246.1500","247.4899","244.2200"
"2017/09/20","246.2200","801725.0000","241.6500","247.3000","240.1900"
"2017/09/19","238.6000","242407.0000","237.8500","239.2700","236.9850"
"2017/09/18","237.8100","375801.0000","238.4500","239.3400","237.0200"
"2017/09/15","237.8300","409087.0000","235.7900","238.1000","235.2800"
"2017/09/14","236.4100","241441.0000","235.0700","236.5000","234.9100"
"2017/09/13","235.5800","271563.0000","237.1500","237.2422","234.7800"
"2017/09/12","237.3700","152238.0000","237.2300","238.4100","236.3800"
"2017/09/11","236.8200","297719.0000","235.6000","237.2350","234.4100"
"2017/09/08","234.3800","348339.0000","229.5800","234.5500","229.1400"
"2017/09/07","229.9600","267336.0000","229.6300","230.7400","228.0700"
