"date","close","volume","open","high","low"
"15:09","246.28","375,311","243.97","246.89","243.27"
"2017/10/19","242.6900","796692.0000","241.3500","243.0100","238.5750"
"2017/10/18","241.3100","1099848.0000","241.1800","245.6000","241.1800"
"2017/10/17","240.4300","1691953.0000","239.4000","242.4200","237.6700"
"2017/10/16","237.1700","1121772.0000","236.7800","238.3800","235.7400"
"2017/10/13","237.7300","812074.0000","237.9200","240.7000","235.7000"
"2017/10/12","241.4400","734070.0000","240.9900","242.3400","239.5800"
"2017/10/11","240.3800","821317.0000","240.0000","242.9850","240.0000"
"2017/10/10","240.4900","1235123.0000","240.4500","241.7900","239.5100"
"2017/10/09","240.4100","929419.0000","242.0000","244.1100","239.8400"
"2017/10/06","246.9000","1152711.0000","246.1200","248.3300","245.6250"
"2017/10/05","245.3600","1059567.0000","246.7500","247.3000","244.8800"
"2017/10/04","246.5100","707418.0000","247.3900","248.4100","246.3300"
"2017/10/03","247.3900","720905.0000","245.0700","247.4000","244.6700"
"2017/10/02","245.0000","1099449.0000","244.4100","245.9800","244.0000"
"2017/09/29","243.6300","1539446.0000","243.0400","243.7100","240.8000"
"2017/09/28","242.7500","1084699.0000","238.3300","244.8700","237.9100"
"2017/09/27","238.8700","1356321.0000","239.4800","240.2400","235.1500"
"2017/09/26","239.2100","1330833.0000","237.8400","241.7900","237.8400"
"2017/09/25","237.2100","1098375.0000","239.5500","241.6444","236.9700"
"2017/09/22","239.0900","1325110.0000","238.9100","244.4300","235.2200"
"2017/09/21","238.6400","1170991.0000","240.0600","240.0600","237.8300"
"2017/09/20","239.6800","1824163.0000","240.0800","241.9800","237.5500"
"2017/09/19","240.0400","1725157.0000","248.8000","249.5000","239.6100"
"2017/09/18","248.4500","1112394.0000","250.0100","250.4900","247.8400"
"2017/09/15","249.2800","1221661.0000","250.0000","250.9600","249.1500"
"2017/09/14","250.6500","1050870.0000","251.6000","251.8800","249.7700"
"2017/09/13","251.5400","1322353.0000","255.1800","257.7400","251.5200"
"2017/09/12","255.1000","743010.0000","257.1100","257.7200","253.9600"
"2017/09/11","257.2100","671166.0000","258.2900","259.7600","257.1600"
"2017/09/08","256.5600","837422.0000","256.4000","257.2850","255.6750"
"2017/09/07","256.5300","692189.0000","256.9400","258.3800","255.9800"
"2017/09/06","256.8800","661860.0000","258.0000","258.8100","255.0000"
"2017/09/05","257.5500","780774.0000","258.0000","259.4700","256.6300"
"2017/09/01","258.7500","521358.0000","257.9800","259.4600","257.0450"
"2017/08/31","257.6200","1017200.0000","254.9900","257.7400","254.6100"
"2017/08/30","254.2400","617384.0000","255.6500","255.6500","253.2600"
"2017/08/29","255.6700","1025306.0000","254.1300","255.9100","253.4600"
"2017/08/28","255.0700","1184082.0000","253.0900","255.0700","252.6700"
"2017/08/25","253.0000","688469.0000","252.1800","254.2700","252.1800"
"2017/08/24","251.8500","600935.0000","252.6600","252.9650","251.1950"
"2017/08/23","251.9900","674014.0000","252.0700","253.4600","250.8300"
"2017/08/22","253.2800","1322841.0000","248.5300","254.3200","247.9800"
"2017/08/21","249.3600","703156.0000","248.1400","250.2700","247.4200"
"2017/08/18","247.2800","754328.0000","247.4000","248.3700","245.6800"
"2017/08/17","247.6600","738060.0000","247.3700","248.9750","246.6100"
"2017/08/16","247.3600","1026007.0000","247.2600","249.3100","246.7700"
"2017/08/15","246.8300","1274655.0000","250.5800","250.9500","246.6100"
"2017/08/14","250.2500","726359.0000","250.3200","252.3100","250.0000"
"2017/08/11","249.9900","840299.0000","251.3000","252.8200","249.9400"
"2017/08/10","251.6700","802328.0000","253.4900","255.2700","250.8770"
"2017/08/09","254.9600","1353897.0000","250.3400","255.1000","248.8000"
"2017/08/08","250.2200","1256440.0000","249.3200","251.0000","247.8000"
"2017/08/07","249.6200","1068145.0000","245.4900","249.6300","245.3800"
"2017/08/04","245.9300","1557990.0000","249.5900","251.7950","245.1900"
"2017/08/03","248.8400","2366040.0000","241.8300","249.3300","241.6900"
"2017/08/02","241.0900","2951818.0000","238.0000","242.7800","237.1000"
"2017/08/01","230.7700","1022002.0000","231.6400","232.4700","229.8400"
"2017/07/31","231.2000","844476.0000","233.6900","233.7100","230.8700"
"2017/07/28","233.0800","1590958.0000","232.9700","236.6300","231.5400"
"2017/07/27","232.6000","782611.0000","233.2200","234.5800","231.0900"
"2017/07/26","233.5000","1114849.0000","235.4400","235.5800","233.4900"
