"date","close","volume","open","high","low"
"15:07","62.69","3,875,941","62.48","63.14","62.2256"
"2017/10/19","61.9900","5040161.0000","60.9500","62.0300","60.3600"
"2017/10/18","61.5000","3930770.0000","61.7200","62.1200","61.4600"
"2017/10/17","61.6600","2673643.0000","61.5300","61.8600","60.9700"
"2017/10/16","61.4800","4539233.0000","61.1200","61.9730","61.0100"
"2017/10/13","61.0800","7150123.0000","62.3800","62.4400","60.5500"
"2017/10/12","62.0500","4751649.0000","61.4500","62.5800","61.2000"
"2017/10/11","61.3600","5643638.0000","61.2700","61.3900","60.5200"
"2017/10/10","61.4500","5731824.0000","61.1500","61.5600","60.7600"
"2017/10/09","61.1800","8839251.0000","61.5000","61.7400","60.5600"
"2017/10/06","63.2500","3836101.0000","62.7300","63.3798","62.2900"
"2017/10/05","63.0900","4505269.0000","62.6500","63.2400","62.2100"
"2017/10/04","62.6300","6689124.0000","63.0700","63.3300","62.1500"
"2017/10/03","63.4500","3774773.0000","63.6100","63.7895","62.9510"
"2017/10/02","63.3900","5569706.0000","64.4200","64.7100","62.9900"
"2017/09/29","64.5100","5039853.0000","63.4900","64.7100","63.4400"
"2017/09/28","63.5400","5928623.0000","63.0500","63.6000","62.6300"
"2017/09/27","63.0900","4939369.0000","62.0000","63.4500","61.9900"
"2017/09/26","61.7600","5359619.0000","62.5300","62.7500","61.5800"
"2017/09/25","62.1400","9230006.0000","63.7200","63.7500","61.3200"
"2017/09/22","63.9000","5650346.0000","63.7400","64.5900","63.3400"
"2017/09/21","64.1100","4464650.0000","64.7800","64.9700","63.8400"
"2017/09/20","65.0000","6340470.0000","64.8100","65.1900","63.8700"
"2017/09/19","64.3100","6626761.0000","64.3400","64.6150","63.3300"
"2017/09/18","64.2000","6264252.0000","65.0000","65.4500","64.0200"
"2017/09/15","65.0000","16131550.0000","65.3200","65.4600","64.6800"
"2017/09/14","65.1700","4768856.0000","65.0300","65.9950","64.6800"
"2017/09/13","65.4000","4904160.0000","65.9100","66.0700","64.8700"
"2017/09/12","66.0900","5069362.0000","66.4800","66.5000","65.2500"
"2017/09/11","66.1600","5371534.0000","65.5400","66.5000","65.3300"
"2017/09/08","64.9300","5224167.0000","65.5400","66.1700","64.7100"
"2017/09/07","65.8300","7038329.0000","64.3000","65.8700","64.0600"
"2017/09/06","64.0000","5540438.0000","65.0900","65.3000","63.8710"
"2017/09/05","65.0500","4837271.0000","64.8400","65.2500","64.1600"
"2017/09/01","65.1200","5620029.0000","65.6600","65.8600","63.4300"
"2017/08/31","65.5600","7621474.0000","66.0000","66.5800","65.1400"
"2017/08/30","65.6800","7413484.0000","63.5300","65.8000","63.3810"
"2017/08/29","63.4800","4496660.0000","62.0400","63.8100","61.9500"
"2017/08/28","62.7500","3943111.0000","63.0900","63.1200","62.3700"
"2017/08/25","62.5800","4363040.0000","63.6300","63.9600","62.4900"
"2017/08/24","63.4300","3906378.0000","64.3100","64.4500","62.8000"
